pair_id,question_id,table_id,label
1,0,med_ec5,highly_relevant
2,0,sdg_12_61,relevant
3,0,env_ac_egss3,relevant
4,0,enps_nama_10_a10,highly_relevant
4,0,enps_nama_10_a10,highly_relevant
5,0,enpe_nama_10_a10,highly_relevant
6,1,educ_uoe_fini05,highly_relevant
7,1,med_ec0,relevant
8,1,gov_eu_nfa,not_relevant
9,1,educ_fiaid,not_relevant
10,1,educ_fiexpc,relevant
10,1,educ_fiexpc,relevant
11,2,icw_sr_05,highly_relevant
12,2,tec00121,not_relevant
13,2,prc_ppp_conv,not_relevant
14,2,ilc_di12b,relevant
15,2,tessi191,relevant
16,3,sbs_pen_enteea,relevant
17,3,sbs_pen_7b1,relevant
18,3,sbs_pen_7c,highly_relevant
19,3,sbs_pen_7e,relevant
20,3,sbs_pen_7b2,relevant
21,4,enps_avia_typ,highly_relevant
22,4,med_air3,highly_relevant
23,4,mar_qg_qm_ewhk,not_relevant
24,4,bs_bs7_04,not_relevant
25,4,ert_bil_eur_a$dv_861,not_relevant
26,5,teina400_r2,highly_relevant
27,5,teina416_r2,relevant
28,5,teina412_r2,relevant
29,5,teina408_r2,relevant
30,5,teina424_r2,relevant
31,6,gbv_ch_rp,not_relevant
32,6,crim_plce,highly_relevant
33,6,gbv_st_rp,not_relevant
34,6,gbv_ipv_rp,not_relevant
35,6,gbv_npv_rp,not_relevant
36,7,tag00039,highly_relevant
37,7,med_ag32,relevant
38,7,rd_p_sen,not_relevant
39,7,sts_tot_prod_a,not_relevant
39,7,sts_tot_prod_a,not_relevant
40,7,tag00041,relevant
41,8,med_en3,highly_relevant
42,8,gbv_any_cnq,not_relevant
43,8,gbv_ipv_cnq,not_relevant
44,8,gbv_npv_cnq,not_relevant
45,8,enps_rail_eq,not_relevant
46,9,gbv_npv_rp,highly_relevant
47,9,gbv_ch_rp,relevant
48,9,gbv_ipv_rp,relevant
49,9,gbv_any_rp,relevant
50,9,gbv_shw_rp,not_relevant
51,10,road_pa_mov,highly_relevant
52,10,enps_road_eqs_car,not_relevant
53,10,tran_hv_ms_psmod,relevant
54,10,sdg_09_50,relevant
55,10,road_eqr_carbua,relevant
56,11,ilc_odbt09,relevant
57,11,ilc_odbt08,highly_relevant
58,11,ilc_odbt07,relevant
59,11,ilc_odbt06,relevant
60,11,ilc_odbt05,relevant
61,12,tps00191,highly_relevant
62,12,tps00189,relevant
63,12,migr_asyapp1pc,relevant
64,12,migr_asyapp1mp,relevant
65,12,tps00194,relevant
66,13,ilc_lvhd01,not_relevant
67,13,tgs00107,highly_relevant
68,13,ilc_peps11,highly_relevant
69,13,tespm060,relevant
70,13,tesov092,relevant
71,14,gov_eu_nfa,highly_relevant
72,14,gov_eu_fa,not_relevant
