question_id,table_id_rank_1,table_id_rank_2,table_id_rank_3,table_id_rank_4,table_id_rank_5,table_id_rank_6,table_id_rank_7,table_id_rank_8,table_id_rank_9,table_id_rank_10
0,enps_educ_figdp,med_ec4,med_en61,sdg_12_61,med_en63,enps_bop_iip6,met_ipr_da,tus_00alone,med_ec5,tin00186
1,educ_uoe_fini05,sprt_pcs_qnt,hlth_sha11_hf$dv_2826,cult_pcs_qnt,sdg_16_30,tec00009,enpe_hlth_exp,sdg_12_31,gba_nabste,enpe_educ_figdp
2,icw_sr_05,tessi191,tessi190,med_ps26,med_ec6,tin00196,tag00046,hlth_sha11_hf$dv_2821,tec00013,tec00116
3,sbs_pen_7b1,sbs_pen_7c,sdg_08_11,sbs_pen_7e,trng_cvt_22n1,sbs_pen_7b2,ert_bil_eur_a$dv_841,bs_bs7_00,iss_stat,trng_cvt_21n1
4,enps_avia_typ,mar_qg_qm_pvh,avia_eq_arc_age,med_air4,avia_eq_arc_agereg,rail_pa_nbpass,med_air3,mar_qg_qm_pwh,hsw_ac4,iww_if_hordim
5,teina422_r2,teina438_r2,teina424_r2,teina416_r2,teina400_r2,teina408_r2,teina440_r2,teina420_r2,teina446_r2,teina432_r2
6,crim_plce,migr_resfpc,,,,,,,,
7,tag00039,tag00037,,,,,,,,
8,med_en3,road_eqs_carage,med_rd5,med_ra2,med_ag31,irt_st_a,enps_road_if,tin00093,tipsfs10,cei_pc050
9,gbv_npv_rp,gbv_npv_ed,gbv_npv_lim,gbv_ipv_rp,gbv_any_rp,,,,,
10,road_eqs_busveh,rail_tf_passmov,road_eqr_bussea,road_pa_mov,road_eqr_carbua,rail_tf_hautkmo,rail_tf_hauseat,iww_ac_nbac,fish_ca_pac61,med_rd3
11,ilc_odbt08,tipslc10,tespm070,sdg_10_30,ilc_odbt03,ilc_pns5,hlth_db_emasne,ilc_odbt01,ilc_odbt06,
12,tps00194,tps00189,tps00191,tps00177,tps00193,migr_asyappctza$dv_618,migr_asyaccm$dv_961,migr_asymrca,migr_asyapp1mp,ilc_scp20$dv_2747
13,tipslc10,tespm040,ilc_peps01n$dv_1161,sdg_11_11,sdg_01_10a,sdg_16_20,ilc_odbt01,ilc_peps13n,hlth_dhc140$dv_2681,ilc_odbt07
14,ten00139,gov_eu_fa,med_ec8,ilc_odbt02,med_ec5,sbs_pen_enteea,med_ec7,ilc_di11i,ten00120,bs_bs16_04
15,rail_tf_passmov,road_eqs_carage,road_eqs_carhab,road_eqs_unlweig,sdg_13_31,enpe_road_eqs_car,road_eqs_caralt,rail_tf_hautkmo,road_eqr_carbua,enps_lfsa_argaed
16,sdg_06_10,tessi294,sdg_14_40,env_wat_pop,ten00138,tipspc23,med_en2,rail_eq_pa_cty,road_eqr_bussea,cens_01ndcomf
17,icw_pov_03,,,,,,,,,
18,tps00197,edat_lfse_03$dv_598,trng_lfs_02$dv_2221,ilc_chmd03,ilc_igtp03,earn_ses_pub1i$dv_353,yth_educ_030,educ_uoe_enra10,ilc_scp01$dv_1061,enps_edat_lfse4
19,tessi293,tessi294,ilc_scp40$dv_2549,sdg_06_10,trng_nfe16,env_wat_pop,rail_tf_ns20_bg,tespm020,road_eqr_bussea,ilc_peps07
20,tag00064,,,,,,,,,
21,trng_nfe6,trng_nfe15,trng_nfe14,trng_nfe5,educ_ipart$dv_437,trng_nfe4,trng_nfe18,lfso_10fvaredu$dv_609,trng_nfe16,enps_educ_parity
22,enps_env_ww_con,med_en47,,,,,,,,
23,rail_tf_ns15_sk,rail_tf_ns_sk,rail_tf_ns15_cz,,,,,,,
24,tin00196,tin00180,enpe_bop_c6_a,tipsna40,tps00103,ten00135,enpe_bop_iip6,gov_eu_debt,ilc_mdes05_r,gov_10dd_acd
25,tespm090,tepsr_lm411,ilc_mdsd07$dv_2621,ilc_mddd04b$dv_2721,ilc_li11$dv_2662,ilc_li21$dv_2663,ilc_lvhd01,sdg_01_41,ilc_peps01n$dv_1161,tespn090
26,ilc_igtp04,ilc_li22$dv_2664,ilc_igtp03,sdg_10_30,ilc_li02$dv_548,ilc_pw01b$dv_2749,tespn100,tespn010,tessi020,tespm070
27,educ_iste,educ_ipart$dv_437,enps_educ_comprate,educ_uoe_enra05$dv_441,trng_nfe14,edat_lfse_03$dv_598,educ_uoe_fina01,educ_uoe_enra29,enps_educ_parity,educ_uoe_enra07
28,tipslc20,tipslc10,enpe_ilc_li01,ilc_odbt07,,,,,,
29,teiet010,ext_ser_bec01,tet00002,med_ec4,ert_bil_conv_a,teiet300,cei_gsr020,enpe_ext_bal,enpe_ext_intro,med_ec1
30,tessi178,tessi175,ilc_lvho05c,cens_91down,tessi176,ilc_chmd02,cens_hndwnr,cens_01ndbuild,sdg_10_50,ilc_lvho05a$dv_1185
31,enps_mar_frdir,mar_qg_qm_ewhd,mar_qg_qm_ewhg,mar_qg_qm_ewhk,mar_mg_aa_cwh,mar_qg_qm_ewht,mar_sg_am_cwd,enps_mar_eqton,mar_sg_am_ewx,mar_qg_qm_cwh
32,bop_its_str,ext_ser_bec01,egi_tr4,egi_tr5,teiet300,med_to11,enpe_ext_bal,egi_tr2,teiet070,sts_tot_prod_a
33,egi_tr1,tet00028,egi_so1,tet00002,tipsex13,prc_colc_ext,tec00121,tet00001,tipsho30,med_ps32
34,lfsi_jhh_a,tps00182,hlth_db_emasne,tipslc10,sdg_10_30,ilc_mddd04b$dv_2721,enps_lfsa_urgan,tipslm100,cens_01ndcomf,tps00181
35,tespn020,ilc_li33,ilc_li34,tgs00108,ilc_pns5,ilc_mdsd07$dv_2621,ilc_lk11,ilc_mddd04b$dv_2721,tepsr_lm430,ilc_li34$dv_1982
36,rail_go_total,ttr00007,ttr00009,med_ma1,med_ma7,ttr00001,ttr00006,hsw_ac4,tran_hv_frtra,rail_pa_total
37,hlth_rs_grd2$dv_2825,hlth_hc_dent,tps00045,tus_00meal,hlth_co_ren,hlth_rs_bdltc,hlth_hlye_h,tgs00064,cens_91hnnch,ilc_hch15
38,iss_21sopref,sbs_pen_enteea,tus_00meal,iss_21gvcsa,iss_18sojobn,egi_so1,tin00116,trng_cvt_34n1,tps00175,iss_18bfmmag
39,egr_mne,egr_mne_n2sc,tec00011,,,,,,,
40,avia_eq_arc_agereg,med_rd5,hsw_ac4,enps_avia_typ,avia_eq_arc_age,med_air3,road_eqs_busveh,road_eqr_trams,road_ec_empl,med_ma7
41,irt_h_ddmr_a,teimf050,irt_h_mr3_a,teimf040,tipsbp10,enpe_irt_st,teiet215,prc_colc_tot,irt_lt_gby10_a,ert_h_eur_a
42,teicp120,,,,,,,,,
43,demo_popmdctb,tps00195,hsw_ac8$dv_386,med_ps115,earn_gr_gpgr2ag,eq_pop02,migr_eirtn$dv_1241,eq_pop04,educ_uoe_enra19,educ_uoe_enra25
44,lfst_r_lmdgeg,tesem060,earn_ses_pub1a,sdg_05_30,earn_ses_pub1t,earn_gr_hgpg,earn_gr_gpgr2wt,earn_ses_pub1a$dv_352,lfsi_long_e08,lfsa_qoe_3a2$dv_608
