question_id,table_id_rank_1,table_id_rank_2,table_id_rank_3,table_id_rank_4,table_id_rank_5,table_id_rank_6,table_id_rank_7,table_id_rank_8,table_id_rank_9,table_id_rank_10
0,sprt_pcs_qnt,enpe_bop_iip6_serv,enps_educ_figdp,enps_bop_iip6,enpe_educ_figdp,enps_gov_10dd,nama_10_pp,tec00021,sdg_17_10,tin00196
1,earn_gr_goeg,tin00111,sdg_05_20,bop_its_str,tin00116,ten00139,sbs_part_wtstck,trng_cvt_26n1,enps_tour_occ_arnat,trng_cvt_24n2
2,tepsr_sp310,teina225,ilc_odbt02,tessi190,tepsr_sp110,ilc_di12b,prc_hpi_hsna,teina200,tessi191,lc_lci_r2_cow
3,sbs_pen_7e,sbs_pen_7b1,sbs_pen_7c,enpe_irt_ld,ilc_di11g,enps_cpi,tipsbd10,enpe_nama_10_ulc,isoc_sk_oja2,teina515
4,avia_eq_arc_agereg,med_air4,enps_avia_pa,med_ma7,road_eqs_spurp,med_rd5,med_rd6,tran_sf_roadro,med_air3,enps_rail_fr
5,teina400_r2,teina080,teina422_r2,teina416_r2,teina438_r2,teina020,teina424_r2,icw_sr_10,teina440_r2,teina402_r2
6,crim_plce,migr_eilpop,rd_b_berdcon,enps_lfsa_egaps,prc_rem_nr,hlth_hc_phys2,ilc_mddd17,crim_pris_pop,med_en2,med_to12
7,tag00039,tag00041,tag00037,tag00038,tag00040,tag00070,hlth_rs_bdltc,prc_colc_ext,med_ag32,apro_mk_fatprot
8,sdg_15_50,med_en24,med_en3,enps_env_wastrt,med_en23,enps_env_wat_cov,med_en47,ten00003,enps_env_wasgenm,tran_sf_railsu
9,gbv_npv_rp,gbv_shw_comm,gbv_npv_du,gbv_ipv_rp,gbv_npv_cnq,gbv_npv_lim,gbv_any_rp,gbv_awr_leg,gbv_npv_ed,migr_asyapp1up
10,iww_tf_vetf,tran_hv_ms_frmod,sdg_09_60,tran_sf_railac,road_eqr_spurp,road_eqs_spurp,tran_hv_pstra,road_tert_go,road_eqr_mopeds,tran_hv_ms_psmod
11,ilc_odbt08,ilc_odbt03,tespm060,ilc_odbt05,earn_nt_taxwedge,ilc_odbt01,tespm020,earn_nt_lowwtrp,tepsr_sp310,lfso_12penstyp
12,tps00193,tps00190,tps00192,migr_asyaccm$dv_961,migr_asypenctzm$dv_723,migr_asywitha$dv_1021,tps00189,sdg_10_60,ilc_camnforall,tps00191
13,tespm060,ilc_li12,tps00181,sdg_01_10a,ilc_mdsd07$dv_2621,med_ps423,ilc_lvhd01,ilc_mddd04b$dv_2721,tessi125,tespm040
14,tipsbd10,sdg_17_50,ten00141,ilc_di11i,tps00103,sdg_16_30,enps_cpi,bs_bs16_04,enps_nama_10_gdp_ea,ilc_di11g
15,road_eqs_carhab,,,,,,,,,
16,med_en21,med_en3,med_en2,sdg_02_53,sdg_14_40,cei_pc040,sdg_15_50,enps_ilc_sanit,sdg_11_60,tai11
17,tessi178,ilc_mdes03$dv_2702,hlth_dhc140$dv_2681,sdg_10_50,ilc_lvps20,ilc_lvho50c,tesov190,sdg_11_20,ilc_odbt13,ilc_mdes03_r
18,ilc_chmd03,edat_lfse_03$dv_598,tps00197,enpe_edat_lfse_03,trng_lfs_02$dv_2221,ilc_scp33$dv_2541,enps_edat_lfse4,tesem090,ilc_caparents,educ_uoe_perp05
19,env_wat_pop,road_eqr_bussea,sdg_11_20,tessi294,hlth_dhc140$dv_2681,lfst_dpw_09,ilc_lvho07b,ilc_mddd04b$dv_2721,sdg_06_10,cens_01ndcomf
20,tag00064,med_ps23,demo_mexrt,orch_total,tag00115,ten00118,gov_gb,ilc_odbt13,tag00093,enpe_mon_res
21,trng_nfe6,trng_nfe15,trng_nfe4,tps00215,trng_nfe5,trng_nfe18,lfst_dpw_01,tps00053,tus_00educ$dv_571,edat_lfse_14$dv_356
22,med_en47,enps_env_ww_con,enps_env_air_emis,ten00138,enps_env_wasacc,cei_pc035,med_en24,med_en23,med_en22,enps_env_wastrt
23,rail_tf_ns15_sk,rail_tf_ns_sk,enps_rail_fr,enps_road_go,med_ra5,enps_rail_pa,tran_hv_frtra,ttr00006,enpe_road_go,rail_ec_ent
24,enps_tour_occ_ninat,tin00195,tin00180,ilc_pw01$dv_2761,tin00171,tus_00educ$dv_571,tec00127,teiis070,med_to13,edat_lfse_14$dv_356
25,tepsr_lm412,tespm040,ilc_peps01n$dv_1161,sdg_01_10,hlth_dhc140$dv_2681,sdg_01_10a,ilc_peps13n,tespm090,ilc_pecs01,ilc_li21$dv_2663
26,ilc_igtp04,ilc_odbt01,ilc_odbt06,earn_nt_unemtrp,ilc_odbt12,ilc_odbt05,enpe_ilc_li01,ilc_pw01b$dv_2749,ilc_li13,ilc_odbt09
27,educ_iste,enps_educ_comprate,trng_nfe14,educ_uoe_enra29,educ_ipart$dv_437,trng_nfe18,trng_any5,trng_inf3,hlth_ehis_sk3e$dv_298,educ_uoe_enra07
