question_id,table_id_rank_1,table_id_rank_2,table_id_rank_3,table_id_rank_4,table_id_rank_5,table_id_rank_6,table_id_rank_7,table_id_rank_8,table_id_rank_9,table_id_rank_10
0,med_ec5,sdg_12_61,env_ac_egss3,enps_nama_10_a10,enpe_nama_10_a10,gov_eu_nfa,teina414_r2,teina418_r2,isoc_bde15ag,tin00074
1,educ_uoe_fini05,med_ec0,gov_eu_nfa,educ_fiaid,educ_fiexpc,med_ps26,educ_uoe_fini06,med_ec2,enps_nama_10_gdp_ea,enpe_educ_figdp
2,icw_sr_05,tec00121,prc_ppp_conv,ilc_di12b,tessi191,ilc_di12c,sdg_10_10,ilc_di12,tessi190,educ_fiexpc
3,sbs_pen_enteea,sbs_pen_7b1,sbs_pen_7c,sbs_pen_7e,sbs_pen_7b2,gov_eu_fa,tag00123,gov_eu_nfa,mar_qg_qm_pwhc,mar_qg_qm_pwhl
4,enps_avia_typ,med_air3,mar_qg_qm_ewhk,bs_bs7_04,ert_bil_eur_a$dv_861,rd_p_sen,med_air4,trng_nfe15,mar_v_est,mar_qg_qm_pwhc
5,teina400_r2,teina416_r2,teina412_r2,teina408_r2,teina424_r2,teina432_r2,teina428_r2,teina404_r2,teina402_r2,teina414_r2
6,gbv_ch_rp,crim_plce,gbv_st_rp,gbv_ipv_rp,gbv_npv_rp,gbv_any_rp,gbv_shw_rp,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq
7,tag00039,med_ag32,rd_p_sen,sts_tot_prod_a,tag00041,med_ag33,tag00038,apro_mk_fatprot,tag00027,tag00094
8,med_en3,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq,enps_rail_eq,med_rd5,iss_21gvcsa,iss_21gvcba,med_ra2,hsw_aw_nnaws
9,gbv_npv_rp,gbv_ch_rp,gbv_ipv_rp,gbv_any_rp,gbv_shw_rp,gbv_npv_cnq,trng_nfe18,gbv_npv_type,gbv_npv_perp,gbv_ipv_cnq
10,road_pa_mov,enps_road_eqs_car,tran_hv_ms_psmod,sdg_09_50,road_eqr_carbua,road_eqs_busveh,road_eqr_busveh,road_eqs_bussea,road_eqr_bussea,road_eqr_bum
11,ilc_odbt09,ilc_odbt08,ilc_odbt07,ilc_odbt06,ilc_odbt05,ilc_mdes03$dv_2702,ilc_odbt03,sdg_06_10,sdg_16_20,sdg_11_20
12,tps00191,tps00189,migr_asyapp1pc,migr_asyapp1mp,tps00194,migr_asymrca,migr_asyappctza$dv_618,migr_asyaccm$dv_961,sdg_09_40,ilc_lvhd02
13,ilc_lvhd01,tgs00107,ilc_peps11,tespm060,tesov092,ilc_peps11n,tespn120,tespn010,tespn110,tespn100
14,gov_eu_nfa,gov_eu_fa,tepsr_wc310,tet00038,ten00139,mar_qg_qm_ewhg,tipspd26,tipspc26,tipspd24,tipspc24
15,road_eqs_carage,tespn250,lfst_dpw_03,tespn270,tipslm70,tipslm80,ilc_igtp04,road_eqr_carbua,gbv_any_cnq,gbv_ipv_cnq
16,cens_91dame,cens_01ndcomf,sdg_06_10,tessi294,tessi293,ilc_mdho03c,hlth_ehis_al3e$dv_450,hlth_ehis_al1e$dv_1142,ilc_mdho02c,isoc_sk_cskl_i$dv_266
17,icw_pov_03,earn_mw_avgr1,earn_mw_avgr2,edat_lfso_00t2,tps00181,lfsi_jhh_a,med_ps423,med_ps32,rd_p_sen,teilm100
18,tps00197,tps00066,enps_edat_lfse4,ilc_igtp03,tesem240,lfst_dpw_04,lfst_dpw_01,sdg_04_20,enps_edat_lfse3,yth_educ_020
