question_id,table_id_rank_1,table_id_rank_2,table_id_rank_3,table_id_rank_4,table_id_rank_5,table_id_rank_6,table_id_rank_7,table_id_rank_8,table_id_rank_9,table_id_rank_10
0,teina402_r2,sdg_12_61,med_ec5,enpe_nama_10_a10,enps_nama_10_a10,isoc_bde15ag,tin00074,tps00175,med_ec1,teina080
1,educ_uoe_fini05,enpe_educ_figdp,med_ps26,enps_educ_figdp,educ_uoe_fina01,educ_uoe_fini06,tipsii15,sdg_08_11,tec00132,enpe_educ_uoe_enra02
2,ert_bil_conv_a,ilc_di12,tessi190,tessi191,ilc_di12b,ilc_di12c,icw_sr_05,ilc_di18,,
3,iww_ec_invest,road_ec_invest,tespm040,tespm151,sbs_pen_enteea,env_ac_epite,sbs_pen_7e,,,
4,med_air3,med_air4,enps_avia_fr,med_air5,tgs00078,avia_eq_arc_age,enps_avia_typ,avia_eq_arc_agereg,tran_hv_ms_frmod,avia_tpgo
5,teina400_r2,teina408_r2,teina444_r2,teina428_r2,teina402_r2,teina410_r2,,,,
6,sdg_13_31,cei_pc040,sdg_03_70,mar_mp_aa_cph,tesem100,rail_go_total,hlth_rs_prs2$dv_2824,tran_sf_roadro,rail_pa_total,tesem060
7,rail_go_total,tag00039,met_ipr_dr,tag00037,tag00041,med_ag32,road_eqs_semitn,tag00040,,
8,med_rd2,med_ra1,enps_env_wasgenm,enps_avia_if,med_rd7,enps_tour_border,enps_env_wastrt,enps_avia_typ,med_air4,med_en24
9,gbv_npv_rp,gbv_npv_frq,gbv_npv_cob,gbv_npv_ed,gbv_npv_age,gbv_npv_perp,gbv_npv_type,gbv_npv_du,gbv_npv_cnq,gbv_npv_occ
10,rail_pa_nbcar,avia_if_arp,rail_tf_ns20_cz,avia_ec_emp_ent,rail_ac_dnggood,road_tf_buscoa,road_pa_mov,iww_ac_nbac,,
11,ilc_odbt01,ilc_odbt07,ilc_odbt09,ilc_odbt03,ilc_odbt08,ilc_odbt05,ilc_odbt12,ilc_li22$dv_2664,tessi121,
12,tps00189,sdg_10_60,migr_asyapp1pc,migr_asyapp1up,migr_asyapp1mp,tps00191,migr_asyappctza$dv_618,tps00190,tps00193,migr_asypenctzm$dv_723
13,ilc_mdes03$dv_2702,tessi163,tessi172,tessi302,tessi121,sdg_01_20,tipslc10,sdg_01_10,tepsr_lm411,ilc_peps13n
14,gov_eu_nfa,tet00012,tet00013,gov_eu_fa,tet00011,sdg_14_40,tec00116,teiet210,gov_eu_debt,
15,tesem020,road_eqr_motors,rail_tf_ns10_hr,tesem060,rail_tf_ns20_hr,tesem100,tps00019,sdg_13_31,rail_tf_ns15_hr,rail_pa_total
16,tipsna50,edat_lfse_14$dv_356,tipsex13,sdg_09_40,sdg_10_30,isoc_sks_itspt,sdg_06_30,crim_thb_vctz$dv_1643,educ_uoe_grad07,ilc_mdsd03$dv_1165
17,enpe_ext_intro,tipspd22,tipspd20,ilc_lvps20,icw_pov_03,sdg_10_10,icw_car_04,tipsna70,tec00131,sdg_17_20
18,tps00197,edat_lfse_03$dv_598,educ_uoe_grad06,lfst_r_lmdgeg,educ_uoe_enra28,educ_uoe_grad07,enpe_edat_lfse_03,yth_educ_020,tesem240,tesem030
19,tessi293,tessi294,demo_mlexpec$dv_292,sdg_06_30,ilc_lvho50d,tessi295,ilc_lvho50c,tessi292,hlth_co_dischnr,tipsna51
20,tag00064,tag00103,prc_rem_gdp,tag00054,tag00063,apri_pi95_vwia,enpe_nama_10_gdp,apri_pi95_vwpa,med_ec8,teiis050
21,trng_nfe16,trng_nfe18,trng_nfe15,trng_nfe14,trng_nfe13,tipspc10,trng_nfe2,trng_nfe7,trng_nfe5,
22,med_ps32,med_en46,sdg_06_20,ten00030,enps_ilc_sanit,med_en47,,,,
