question_id,table_id_rank_1,table_id_rank_2,table_id_rank_3,table_id_rank_4,table_id_rank_5,table_id_rank_6,table_id_rank_7,table_id_rank_8,table_id_rank_9,table_id_rank_10
0,med_ec5,sdg_12_61,isoc_bde15ag,enps_nama_10_a10,enpe_nama_10_a10,tin00074,tec00023,tps00102,tag00056,tps00098
1,educ_uoe_fini05,med_ps26,enps_educ_figdp,enpe_educ_figdp,educ_fiexpc,tps00102,isoc_ski_itsex,tec00010,tsc00031,med_ps23
2,icw_sr_05,tessi190,ilc_di12,hbs_exp_t132,tps00102,hbs_exp_t111,ilc_lvph01,ilc_lvph03,ilc_pns2,tessi191
3,sbs_pen_7c,env_ac_epite1,enps_demo_frate1,med_ec9,enpe_bop_c6_a,sdg_08_11,sbs_pen_7b1,tipser12,sdg_17_20,sbs_pen_7e
4,med_ma1,enps_avia_pa,rail_pa_total,avia_eq_arc_agereg,med_air4,med_ma7,med_air5,enps_mar_eq300,med_ma6,enps_avia_fr
5,teina428_r2,teina440_r2,enpe_nama_10_a10,teina404_r2,teina416_r2,teina400_r2,enps_nama_10_a10,teina424_r2,teina412_r2,teina430_r2
6,crim_plce,med_en3,crim_hom_city,crim_pris_pop,sdg_16_10,rail_eq_pa_nty,sdg_16_30,road_eqs_carhab,rail_ec_expend,road_eqs_busveh
7,tag00039,tag00040,tag00038,enps_apro_mt_p,tag00042,med_ag32,tag00070,tag00041,tag00044,rail_tf_ns15_hr
8,med_en3,enps_env_air_emis,road_eqs_carhab,enps_rail_eq,enps_road_eqs_car,road_eqs_carage,hlth_cd_iap,rail_eq_pa_nty,tran_hv_pstra,med_rd2
9,gbv_npv_ed,tesem060,tepsr_wc130,gbv_ipv_comm,gbv_awr_serv,sdg_03_20,gbv_awr_leg,lfsa_ipga$dv_610,gbv_shw_comm,edat_lfse_20$dv_1101
10,road_pa_mov,road_eqs_busveh,road_eqs_bussea,road_eqr_busveh,road_eqr_carbua,rail_eq_vans,rail_tf_ns_sk,rail_tf_ns_lt,rail_tf_passmov,rail_pa_nbpass
11,tesem140,tesem120,tps00203,tps00104,tps00103,enps_lfsa_urgan,sdg_08_30,enpe_lfsa_urgan,tesem210,tesem010
