question_id,table_id_rank_1,table_id_rank_2,table_id_rank_3,table_id_rank_4,table_id_rank_5,table_id_rank_6,table_id_rank_7,table_id_rank_8,table_id_rank_9,table_id_rank_10
0,med_ec5,naida_10_a10,enps_nama_10_a10,enps_nama_10_gdp_ea,naida_10_gdp,med_ec3,naidq_10_gdp,enps_gov_10dde,enps_bop_iip6,med_ec4
1,educ_uoe_fine08,educ_uoe_fini05,educ_uoe_fini03,educ_uoe_fini01,educ_uoe_fine02,educ_uoe_fine07,educ_uoe_fini02,educ_uoe_fina01,educ_uoe_fine06,educ_uoe_fine03
2,hbs_exp_t111,hbs_exp_t134,teina021,hbs_exp_t121,tec00009,teina020,hbs_exp_t137,icw_sr_05,hbs_exp_t123a,tipsna51
3,sbs_pen_7a,sbs_pen_7c,sbs_pen_7e,sbs_pen_7d,sbs_pen_7b1,sbs_pen_7b2,spr_exp_pens,env_ac_exp1r2,spr_pns_ben,env_ac_epite1
4,med_air3,enps_avia_typ,avia_eq_arc_typ,med_air4,avia_eq_arc_typreg,avia_gor_lt,avia_gor_cy,avia_gor_pl,avia_gor_hu,avia_gor_fr
5,teina442_r2,teina426_r2,teina406_r2,teina434_r2,teina418_r2,teina422_r2,teina430_r2,teina438_r2,teina414_r2,teina440_r2
6,crim_plce,crim_gen,earn_ses_agt03,earn_gr_empnace,hsw_aw_nnasx,hsw_aw_nnaag,hlth_hc_phys2,crim_pris_pop,sbs_cre_rreg,earn_gr_empisco
7,tag00039,apro_mk_pobta,apro_mk_colm,tag00041,apro_mk_cola,apro_mk_farm,sts_inpr_q,sts_inpr_m,sts_inpr_a,tag00037
8,med_en3,enps_env_air_emis,med_rd2,med_rd3,enps_env_wasgenm,enps_road_eqs_car,enps_rail_eq,enps_env_wasgenp,enps_nrg_bal_c1,med_ra2
9,gbv_npv_rp,gbv_npv_perp,gbv_npv_type,gbv_ipv_rp,gbv_any_rp,gbv_npv_frq,gbv_npv_cnq,gbv_ipv_type,gbv_npv_cob,gbv_dv_type
10,road_pa_mov,road_eqr_busveh,road_eqs_busveh,sdg_09_50,tran_sf_roadve,iww_go_atygo,tran_hv_psmod,rail_pa_nbcar,pipe_go_ttkm,rail_pa_typepas
11,ilc_odbt08,tesem210,tespm010,tessi012,tessi121,tespn050,tessi120,ilc_li06,tessi125,tessi124
12,tps00191,migr_asyappctzm,migr_asyappctza,migr_asyappctza$dv_618,migr_asyumactm,migr_asyumacta,sdg_10_60,migr_asyapp1mp,migr_asyapp1pc,tps00193
13,tgs00107,ilc_peps11n,ilc_li10_r,ilc_peps11,tgs00103,ilc_li41,tespm050_r,lfst_r_lfu2ltu,lfst_r_lfsd2pwn,ilc_mdsd18
14,nasa_10_nf_tr,nasq_10_nf_tr,naidsa_10_nf_tr,naidsq_10_nf_tr,gov_10q_ggnfa,gov_10a_taxag,bop_euins6_a,bop_euins6_q,bop_euins6_m,bop_eu6_q
15,road_eqs_carage,rail_eq_pa_cty,road_tf_vehage,rail_eq_pa_nty,road_pa_mov,tran_sf_roadve,road_tf_road,road_eqs_busage,road_eqs_zev,tran_r_vehst
16,tessi294,ilc_mdho05,ilc_mdho02,ilc_mdho03,tessi293,sdg_06_10,hlth_dhc090,hlth_dhc080,ilc_mdho03c,ilc_mdho02c
17,icw_pov_03,icw_pov_05,icw_pov_06,icw_pov_04,icw_pov_08,icw_pov_09,icw_pov_07,icw_car_02,icw_pov_02,icw_car_01
18,tps00197,tesem240,ilc_igtp01,tps00066,edat_lfs_9914,tps00065,ilc_igtp03,tesem030,isoc_sk_cskl_i21,isoc_sk_cskl_i
19,ilc_mdho02,tessi293,ilc_mdho05,tessi294,sdg_06_10,hlth_dhc080,env_wat_pop,ilc_mdho03,ilc_mdho02c,hlth_ehis_pc1u
20,ef_oluecsreg,ef_lu_ovcropesu,ef_lu_ovcropaa,apri_lprc,ef_oluaareg,apri_lrnt,tec00001,lan_lcv_ovw,apro_cpnh1,aei_pestuse
21,trng_nfe13,trng_nfe16,trng_nfe7,trng_nfe23,trng_nfe18,trng_nfe12,trng_nfe25,trng_nfe11,trng_nfe15,edat_lfse_18
22,med_en47,enps_env_ww_con,med_en21,enps_env_wastrt,enps_ilc_sanit,med_en24,enps_env_wat_cov,enps_env_wasgenp,med_en23,enps_env_wasgenm
23,rail_tf_trainmv,rail_tf_traveh,rail_tf_haulmov,rail_tf_passmov,road_go_ta_nace,ttr00006,sdg_09_60,rail_pa_speed,tran_r_net,rail_tf_ns15_sk
24,tin00196,tour_dem_exsex,tour_dem_exage,tour_dem_exmd,tour_dem_exac,tour_dem_exorg,tour_dem_exws,tin00195,tour_dem_exinc,tour_dem_exls
25,ilc_caindform25b,ilc_caindform25,tepsr_lm411,ilc_peps05n,ilc_peps05n$dv_1962,ilc_peps04n,tespm040,ilc_peps06n,ilc_li70,ilc_peps06n$dv_1961
26,tesem210,ilc_pns1,ilc_li02,ilc_pnp1,ilc_li02$dv_1964,ilc_li02$dv_548,tessi010,ilc_li06,ilc_li03,ilc_li23
27,educ_iste,educ_ipart$dv_437,educ_ipart,educ_ilev,educ_enrl1at,educ_enrl1tl,educ_enrl1ad,educ_ilang,edat_lfs_9901,lfsa_pgaed
28,tipslc20,sdg_01_20,ilc_li09,ilc_li10,tespm050,mips_sa,urb_clivcon,ilc_li09b,ilc_li10b,urb_llivcon
29,tet00065,ext_lt_intertrd,ext_lt_mainez,tet00066,teiet210,ext_st_eabec,ext_lt_intratrd,namq_10_exi,nama_10_exi,ext_st_easitc
30,ilc_lvho05b,lfsi_jhh_a,ilc_lvho06q,tessi178,tessi177,lfst_hhinded,lfst_hhnhwhtc$dv_1623,lfst_hhwhnpt,tessi176,ilc_lvho06
31,mar_go_am_se,mar_go_am_nl,mar_go_am_de,mar_go_am_tr,mar_go_am_lv,mar_go_am_bg,mar_go_am_dk,mar_go_am_mt,mar_go_am_fr,mar_go_am_lt
32,tipsna30,env_ac_egss2,naio_10_cp1620,tipsex13,bop_exms6_q,tipsex10,tipsex11,tipsbp60,nama_10_gdp,namq_10_gdp
33,tet00028,tet00001,egi_tr1,ext_lt_intertrd,nrg_ind_ioc,tipsex13,ei_isin_m,tet00002,ei_bsin_m_r2,ei_isbu_q
34,lfsi_jhh_a,tps00181,une_educ_q,enpe_isoc_ci_in_h,une_ltu_q,tespm060,une_educ_q_h,une_educ_a,ilc_iw02,ilc_iw02$dv_2665
35,tespn020,tespn060,tespn090,ilc_pns5,ilc_di15,ilc_di15$dv_1986,ilc_di13,ilc_di13b,ilc_di16$dv_1987,ilc_di16
36,rail_go_contnbr,rail_go_total,iww_go_actygofl,rail_go_grpgood,iww_go_actygo,road_go_ia_lgtt,road_go_ia_ugtt,road_go_cta_gtt,rail_go_typeall,met_road_gonu
37,hlth_rs_grd2$dv_2825,hlth_rs_grd2,hlth_rs_grd,hlth_rs_prs2,hlth_rs_prs2$dv_2824,hlth_ehis_am1e,hlth_rs_prs1,hlth_rs_prsrg,hlth_ehis_am1u,educ_uoe_grad02
38,iss_18bfmmag,egi_so1,iss_18bfbck,iss_18bfmove,isoc_ec_eseln2,fats_g1b_08,ext_stec03,fats_g1a_08,iss_18sodest,iss_18sojobl
39,bop_fdi6_geo,bop_fdi6_flow,bop_euins6_iip,bop_fdi6_pos,bop_fdi6_inc,tet00037,iss_21gvcss,bop_its6_det,iss_21gvcps,iss_21gvcpg
40,avia_eq_arc_agereg,avia_eq_arc_age,avia_eq_arc_typreg,avia_eq_arc_typ,avia_tf_acc,avia_paodis,demo_r_mwk_20,avia_tf_ala,road_eqs_busage,avia_panc
41,ei_mfir_m,irt_h_mr3_m,irt_h_mr3_a,irt_h_mr3_q,tipsbp10,ei_bsbu_m_r2,ei_bsrt_m_r2,irt_h_cgby_m,prc_hicp_mmor,ei_bsse_m_r2
42,teicp120,prc_hicp_midx,prc_hicp_inw,ei_cphi_m,tec00027,prc_hicp_midx$dv_2583,prc_hicp_midx$dv_2582,prc_hicp_aind,teicp280,teicp000
43,demo_popmdctb,demo_popmdctz,ilc_di16$dv_1987,ilc_di16,tps00005,lfst_lmbpcoba,lfst_lmbercoba,lfst_lmbpcobg,ilc_di15,ilc_di15$dv_1986
