question_id,table_id_rank_1,table_id_rank_2,table_id_rank_3,table_id_rank_4,table_id_rank_5,table_id_rank_6,table_id_rank_7,table_id_rank_8,table_id_rank_9,table_id_rank_10
0,med_ec5,enps_nama_10_a10,enps_nama_10_gdp_ea,enps_mar_frdir,med_ec3,enps_gov_10dde,med_ec2,enps_bop_iip6,enps_educ_enrate,enps_educ_figdp
1,educ_uoe_fina01,sdg_08_11,tec00132,educ_uoe_fini05,educ_uoe_perp05,educ_uoe_enra07,educ_uoe_fini06,educ_uoe_lang03,educ_uoe_perd04,educ_uoe_perd05
2,hbs_exp_t111,tec00009,teina021,tipsna51,teina020,tepsr_wc310,tec00131,enps_nama_10_gdp_ea,enpe_nama_10_gdp_ea,ten00137
3,sbs_pen_7e,sbs_pen_7c,sbs_pen_7b1,sbs_pen_7b2,sdg_08_11,env_ac_epite1,env_ac_epite,pipe_ec_invest,sdg_16_30,ilc_pnp14
4,med_air3,med_air4,enps_avia_typ,med_air5,enps_avia_fr,mar_qg_qm_ewht,avia_eq_arc_age,avia_eq_arc_agereg,enps_avia_pa,avia_if_arp
5,teina416_r2,teina424_r2,teina412_r2,teina432_r2,teina400_r2,teina404_r2,teina428_r2,teina436_r2,teina408_r2,teina420_r2
6,crim_plce,road_ec_empl,tipslm16,sbs_pen_7b2,gov_10a_emp,road_ec_entemp,crim_pris_pop,tipsna62,tipsii18,tipsna60
7,tag00039,tag00041,tag00037,apro_mk_fatprot,tag00014,sts_tot_prod_a,tag00049,tag00040,teiis120,tag00038
8,med_en3,med_rd2,med_rd3,enps_road_eqs_car,med_rd5,enps_rail_eq,enps_env_air_emis,enps_env_wasgenm,med_rd7,enps_env_wasgenp
9,gbv_npv_perp,gbv_npv_rp,gbv_npv_type,gbv_npv_frq,gbv_any_rp,gbv_npv_cnq,gbv_ipv_rp,gbv_npv_cob,gbv_npv_lim,gbv_st_perp
10,road_pa_mov,sdg_09_50,road_eqs_busveh,road_eqr_busveh,rail_pa_nbpass,rail_pa_nbcar,tipsna60,teicp070,rail_pa_total,rail_tf_trainmv
11,tespm060,tesem210,tessi121,tessi125,tessi022,tespn100,tespn110,tesov092,sdg_01_20,ilc_li02$dv_548
12,tps00191,migr_asyappctza$dv_618,sdg_10_60,tps00193,migr_asyapp1mp,migr_asydec1pc,migr_asyapp1pc,crim_pris_cap,migr_resspc,migr_asywitha$dv_1021
13,tesem210,tessi125,tessi121,tipslc20,ilc_li12,tespm060,ilc_li13,tps00184,ilc_li02$dv_548,tessi126
14,tet00037,mar_mp_aa_pphd,tag00049,migr_eilpop,tag00053,tag00047,tag00122,tag00093,tag00121,tag00027
15,road_eqs_carage,road_pa_mov,rail_eq_pa_cty,rail_eq_pa_nty,road_eqs_unlweig,road_eqs_carhab,road_eqr_busveh,yth_educ_030,road_eqs_busveh,tran_hv_ms_psmod
16,sdg_06_10,sdg_06_20,icw_pov_03,ten00006,ten00030,tessi293,tessi294,sdg_07_60,ilc_pns5,tessi010
17,hbs_exp_t111,icw_car_02,tec00009,tepsr_wc310,icw_car_01,tipsna51,icw_pov_03,ten00137,teina021,isoc_ci_in_h$dv_512
18,tps00197,ilc_igtp03,tps00066,tesem240,tps00065,ilc_sbjp02,tesem080,ilc_iw04,yth_educ_020,tps00186
19,env_wat_pop,tessi293,tessi294,sdg_06_10,tessi295,sdg_06_20,lfsi_jhh_a,ten00006,cens_91dame,sdg_13_60
20,tec00001,tag00103,tps00099,tin00196,tin00195,env_ac_rp,tps00173,ten00120,tec00120,sdg_08_10
21,trng_nfe13,trng_nfe7,trng_nfe16,trng_nfe18,trng_nfe15,tipsna70,tipslm20,trng_any4,tipslm10,trng_nfe14
22,med_en47,enps_env_ww_con,med_en21,med_ps32,enps_ilc_sanit,enps_env_wastrt,enps_env_wat_cov,enps_env_wasgenp,med_en24,med_en23
23,rail_tf_trainmv,rail_tf_passmov,rail_pa_speed,ttr00006,tran_hv_frmod,rail_go_consgmt,avia_tpgo,ttr00011,tran_hv_ms_frmod,rail_tf_ns15_sk
24,tin00196,tin00195,med_to13,tps00099,tin00176,tin00175,nama_10_fte,med_ec9,sdg_16_30,rail_ec_expend
25,ilc_li12,ilc_li13,ilc_li70,tepsr_spi110,tps00184,ilc_li02$dv_548,tipslc20,tessi126,tessi014,tesov250
26,tesem210,ilc_li02$dv_548,ilc_li21$dv_2663,tessi010,ilc_li22$dv_2664,tepsr_spi110,sdg_01_20,tipslc20,ilc_li12,ilc_li70
27,educ_iste,educ_ipart$dv_437,trng_nfe18,trng_nfe13,educ_uoe_enra10,trng_nfe15,trng_nfe14,trng_any5,trng_nfe16,teicp100
28,tipslc20,sdg_01_20,tesem210,tessi010,tepsr_spi110,med_ps312,sdg_01_20a,enpe_ilc_li09,enpe_ilc_li01,ilc_peps11
29,tet00065,tet00071,teimf250,tec00120,tec00033,tsc00008,sdg_10_10,tps00155,tec00114,tsc00031
30,tessi175,tps00003,ipr_da_pop,tessi177,tessi176,ilc_lvhl23n,tessi178,hlth_hc_phys,crim_pris_cap,tipslm16
31,mar_mg_am_cwt,mar_qg_qm_cwh,mar_mp_am_cft,mar_mg_aa_cwh,ttr00009,mar_mg_am_cvh,mar_sg_am_cwd,tag00083,avia_tpgo,rail_go_total
32,tipsna30,tipsex10,tipsex13,tipsex11,tipser10,tipsex20,bop_its_str,tipslm20,bs_bs11_00,bs_bs10_00
33,tet00028,tet00001,egi_tr1,tec00027,tipser13,tipsex13,prc_colc_nat,tet00002,prc_colc_pppnat,tet00011
34,lfsi_jhh_a,tps00181,tesem210,ilc_iw02$dv_2665,nama_10r_3empers$dv_1564,tespm060,tessi121,med_ps414,ilc_lvph03,ilc_mdes03$dv_2702
35,eq_pop04,tespn020,tespn060,tespn250,ilc_pnp2,ilc_pnp2$dv_1988,tespn270,ilc_di18,tps00028,tessi302
36,rail_go_total,rail_go_consgmt,avia_tpgo,tran_im_mospt,rail_go_quartal,iww_tf_vetf,road_tert_go,tran_im_mosp,rail_tf_trainmv,rail_pa_total
37,hlth_rs_grd2$dv_2825,tps00167,hlth_rs_prs2$dv_2824,ilc_hch15,hlth_hc_phys,educ_uoe_grad06,educ_uoe_grad07,tps00048,tps00053,educ_uoe_enrt08
38,iss_18bfmmag,egi_so1,iss_18bfbck,iss_18bfmove,egi_em1,tin00111,bd_size$dv_1502,egi_em2,egi_va1,enpe_tour_dem_tttot
39,tet00037,migr_eilpop,tag00122,tag00121,tag00049,tag00051,tag00053,tag00027,tag00047,tag00093
40,avia_eq_arc_agereg,avia_eq_arc_age,tran_hv_ms_psmod,avia_if_arp,yth_educ_030,avia_ec_enterp,tesem080,avia_tppa,tesem090,tesem020
41,irt_h_mr3_a,irt_h_cgby_a,tipsbp10,tipsna20,tipsbp70,educ_fiaid,tipsbp20,tipspc16,tipslm10,tipsbp18
42,teicp000,tec00118,tec00027,teicp120,teicp050,teicp040,teicp030,teicp080,teicp010,teicp070
43,tps00005,demo_popmdctb,tessi301,tespn020,tespn060,ilc_pnp2,ilc_pnp2$dv_1988,ilc_li34$dv_1982,ilc_li34,tet00037
44,tessi030,tessi020,ilc_li21$dv_2663,earn_gr_gpgr2ag,ilc_pns5,tespn090,tespn010,tespn270,ilc_li02$dv_548,tespn250
