question_id,table_id_rank_1,table_id_rank_2,table_id_rank_3,table_id_rank_4,table_id_rank_5,table_id_rank_6,table_id_rank_7,table_id_rank_8,table_id_rank_9,table_id_rank_10
0,med_ec5,naida_10_a10,enps_nama_10_a10,enps_nama_10_gdp_ea,enps_bop_iip6,naida_10_gdp,enps_gov_10dde,naidsa_10_nf_tr,med_ec1,mar_go_am_mt
1,educ_uoe_fine08,educ_uoe_fine07,educ_uoe_fini03,educ_uoe_fini05,educ_uoe_fine02,educ_uoe_fina01,educ_uoe_fine06,educ_uoe_fini02,educ_uoe_fine03,educ_uoe_fini01
2,hbs_exp_t111,hbs_exp_t134,tepsr_wc310,enpe_cpi,enps_cpi,hbs_exp_t121,hbs_exp_t133,hbs_exp_t137,sdg_10_10,hbs_exp_t131
3,sbs_pen_7b1,sbs_pen_7c,env_ac_exp1r2,sbs_pen_7a,dsb_sprex03,spr_exp_pens,sbs_cre_esc,sbs_ins_5d1,sbs_pen_7b2,ert_bil_eur_d
4,med_air3,enps_avia_typ,avia_gooc,avia_gona,avia_eq_arc_typ,avia_gor_uk,med_air4,avia_gor_lt,avia_gor_cy,avia_gor_pl
5,teina400_r2,teina404_r2,teina436_r2,teina416_r2,teina424_r2,teina432_r2,teina412_r2,teina440_r2,teina420_r2,teina402_r2
6,earn_ses_agt03,earn_gr_empisco,crim_plce,lc_n00num2,crim_pris_pop,sbs_sc_1b_se95,jvs_q_nace1,jvs_q_nace2,sbs_sc_2d_mi95,lfsa_eegais
7,tag00039,apro_mk_strpd,apro_mk_colm,tag00040,teina011,tag00014,org_aprod,tet00003,apro_mk_cola,tag00041
8,med_rd2,enps_road_eqs_car,med_rd3,med_en3,enps_rail_eq,enps_env_air_emis,med_air3,enps_avia_if,med_ra3,enps_tran_sf_r
9,gbv_npv_rp,gbv_npv_perp,gbv_npv_frq,gbv_npv_ed,sdg_05_50,gbv_npv_type,gbv_npv_cob,gbv_any_rp,gbv_npv_age,gbv_ipv_comm
10,road_pa_mov,rail_tf_trainmv,sdg_09_50,rail_tf_hautype,rail_go_typeall,rail_tf_passmov,rail_pa_typepas,rail_go_typepas,rail_tf_hauseat,rail_tf_vehimov
11,tespn050,tessi022,tespn100,tipspd15,tessi120,tessi012,tipspd22,tespn010,tessi123,tipspd25
12,migr_asyappctza,migr_asyappctza$dv_618,migr_asyappctzm,migr_asyapp1mp,crim_pris_cap,migr_asyapp1pc,lfst_hhindws,migr_asyumacta,lfsq_pganws,lfsa_pganws
13,tessi014,ilc_li01,tespm020,tespm060,tessi022,ilc_li51,tipslc10,sdg_01_10a,ilc_peps13n,tepsr_lm411
14,gov_10q_ggnfa,nasa_10_nf_tr,nasq_10_nf_tr,gov_10a_main,gov_10a_taxag,naidsq_10_nf_tr,naidsa_10_nf_tr,bop_euins6_q,bop_euins6_a,bop_euins6_m
15,road_eqs_carage,edat_lfse_17,road_eqs_lorroa,ilc_lvps10,lfsa_esgacob,ilc_lvps09,lfsa_esgan,lfsq_agacob,lfsq_esgais,lfsa_esgais
16,ilc_mdho02,ilc_mdho05,hlth_rs_bds1,tessi293,tps00107,sdg_06_10,urb_lfermor,dsb_sprex01,ilc_mdho03,urb_llivcon
