question_id,table_id_rank_1,table_id_rank_2,table_id_rank_3,table_id_rank_4,table_id_rank_5,table_id_rank_6,table_id_rank_7,table_id_rank_8,table_id_rank_9,table_id_rank_10
0,med_ec5,enps_nama_10_a10,enps_nama_10_gdp_ea,enps_bop_iip6,enps_gov_10dd,enps_gov_10dde,med_ec1,med_ps421,med_ec4,enps_nama_10_gdp
1,educ_uoe_fini05,educ_uoe_fina01,gba_nabste,tsc00007,tps00104,tipsst10,tipsii20,tipspd20,educ_uoe_fini06,tipspd25
2,icw_sr_05,tepsr_wc310,hbs_exp_t111,sdg_10_10,tec00104,tipsst10,tipsna51,educ_uoe_fini05,tipsii20,tipspd22
3,sbs_pen_7c,sbs_pen_7b1,sbs_pen_7e,sbs_pen_7b2,env_ac_epite,sdg_08_11,env_ac_epite1,ipr_ta_gdp,ilc_pnp13,ilc_pnp14
4,enps_avia_typ,med_air3,avia_eq_arc_agereg,enps_avia_if,med_air4,avia_if_arp,med_ma7,med_air1,med_air5,avia_eq_arc_age
5,teina442_r2,teina440_r2,teina404_r2,teina422_r2,teina434_r2,teina406_r2,teina438_r2,teina436_r2,teina414_r2,teina430_r2
6,crim_plce,crim_pris_pop,tran_sf_roadro,road_eqs_trams,road_eqs_busveh,road_eqr_busveh,tipslm16,rail_eq_pa_nty,road_eqr_trailn,road_eqs_carhab
7,tag00039,tag00038,tag00040,teiis090,teiis500,teiis120,tag00041,teiis100,teiis110,teiis012
8,med_rd2,med_rd3,enps_rail_eq,med_en3,med_air3,enps_road_eqs_car,enps_avia_if,med_ra3,enps_env_air_emis,med_ra2
9,gbv_npv_rp,gbv_npv_perp,gbv_npv_frq,gbv_npv_age,gbv_npv_type,gbv_npv_cnq,gbv_npv_ed,gbv_any_rp,gbv_ipv_comm,gbv_npv_cob
10,road_pa_mov,road_eqs_busveh,road_eqr_busveh,sdg_09_50,rail_tf_trainmv,road_eqr_bum,road_eqs_busmot_h,rail_pa_nbcar,rail_pa_nbpass,rail_tf_passmov
11,tessi022,tespm020,ilc_li21$dv_2663,tessi121,tessi020,ilc_odbt08,tespn010,tespm060,tespn120,tessi014
12,migr_asyappctza$dv_618,tps00191,migr_asyapp1mp,migr_asyapp1pc,tps00194,sdg_09_40,migr_asydecfp,sdg_10_60,migr_asydec1pc,migr_asywitha$dv_1021
13,tgs00107,ilc_peps11n,ilc_peps11,tgs00103,educ_uoe_enra22,educ_uoe_enra17,ilc_mdsd18,ilc_mddd21,tgs00104,tgs00108
14,tet00037,tag00093,tag00027,tag00094,migr_eilpop,tag00047,tag00122,tag00053,tag00049,mar_mp_aa_pphd
