question_id,table_id_rank_1,table_id_rank_2,table_id_rank_3,table_id_rank_4,table_id_rank_5,table_id_rank_6,table_id_rank_7,table_id_rank_8,table_id_rank_9,table_id_rank_10
0,med_ec5,enps_nama_10_a10,enps_nama_10_gdp_ea,enps_bop_iip6,enps_gov_10dde,med_ec1,enps_gov_10dd,enps_mar_frdir,med_ps421,enps_nama_10_gdp
1,educ_uoe_fini05,educ_uoe_fina01,educ_uoe_fini06,tipspc20,tipspc23,tipspc25,tipspc13,tipspc15,sdg_08_11,educ_uoe_enra05$dv_441
2,hbs_exp_t111,tepsr_wc310,enps_cpi,enpe_cpi,sdg_10_10,med_ec8,tipspd26,tec00104,prc_colc_pppnat,tipspc26
3,sbs_pen_7b1,sbs_pen_7c,sbs_pen_7e,sbs_pen_7b2,env_ac_epite,sdg_08_11,env_ac_epite1,ilc_pnp14,ilc_pnp13,earn_ses_pub1t
4,med_air3,enps_avia_typ,med_air4,med_air5,enps_avia_fr,med_air1,enps_avia_if,med_ma7,avia_if_arp,enps_avia_pa
5,teina400_r2,teina404_r2,teina436_r2,teina416_r2,teina424_r2,teina432_r2,teina412_r2,teina440_r2,teina420_r2,teina402_r2
6,crim_plce,crim_pris_pop,tipslm16,ipr_ta_pop,sbs_pen_7b2,road_ec_empl,road_ec_entemp,ilc_lvho05c,sdg_08_30a,apro_ec_lshen
7,tag00039,tag00038,tag00040,teina011,tag00014,tet00003,tag00041,tipsii20,teiis090,teina010
8,med_rd2,enps_road_eqs_car,med_rd3,med_en3,enps_rail_eq,enps_env_air_emis,med_air3,enps_avia_if,med_ra3,enps_tran_sf_r
9,gbv_npv_rp,gbv_npv_perp,gbv_npv_frq,gbv_npv_ed,sdg_05_50,gbv_npv_type,gbv_npv_cob,gbv_any_rp,gbv_npv_age,gbv_ipv_comm
10,road_pa_mov,rail_tf_trainmv,road_eqs_busveh,road_eqr_busveh,sdg_09_50,rail_tf_passmov,rail_pa_nbpass,rail_tf_hauseat,rail_pa_nbcar,teicp070
