question_id,table_id_rank_1,table_id_rank_2,table_id_rank_3,table_id_rank_4,table_id_rank_5,table_id_rank_6,table_id_rank_7,table_id_rank_8,table_id_rank_9,table_id_rank_10
0,fats_g1a_08,fats_g1a_03,fats_g1b_03,fats_g1b_08,naida_10_gdp,naidq_10_gdp,fats_activ,fats_ctrl,naidsa_10_nf_tr,fats_out3
1,educ_fipubin,naio_10_cp1700,naio_10_pyp1700,educ_uoe_fini01,educ_fifunds,educ_fitotin,educ_uoe_fini05,educ_figdp,educ_uoe_fini02,gov_10q_ggnfa
2,icw_sr_05,ilc_di12b,isoc_cisci_sp,isoc_ciegi_rtx,isoc_cisci_sp20,isoc_cisci_prv20,isoc_cisci_prv,ilc_di12c,tessi191,inn_prod
3,sbs_pen_7b1,sbs_pen_7a,sbs_pen_7d,sbs_pen_7c,sbs_pen_enteea,sbs_pen_7e,nasa_10_f_bs,isoc_eb_ain2,nasa_10_f_tr,sbs_ins_5a
4,avia_eq_arc_typreg,enps_avia_typ,avia_eq_arc_typ,med_air3,nrg_ti_coifpm,inn_cis5_coop,inn_cis5_sou,inn_cis6_coop,inn_cis7_coop,inn_cis4_coop
5,cult_ent_val,cult_ent_num,sbs_sc_con_r2,sbs_na_2a_el,sbs_na_4a_co,sbs_na_2a_mi,sbs_na_con_r2,naida_10_a10,sbs_na_2a_dade,sbs_na_2a_dfdn
6,crim_just_job,gbv_ch_rp,crim_plce,isoc_cisci_prv,isoc_e_cvdn2,gbv_npv_rp,gbv_any_rp,gbv_ipv_rp,gbv_st_rp,gbv_shw_rp
7,apro_mk_colm,sbs_sc_ovw,apro_mk_pobta,ipr_ta_cl,apro_mk_cola,hbs_str_t211,hbs_exp_t121,hbs_exp_t123b,hbs_exp_t123a,hbs_str_t221
8,inn_cis12_enve,inn_cis6_eco,inn_cis9_env,isoc_e_cvdn2,inn_cis4_ham,inn_cis6_prod,isoc_cisce_ran2,inn_cis9_noin,inn_cis9_ecodr,inn_cis5_ham
9,gbv_npv_rp,gbv_ipv_rp,gbv_ch_rp,gbv_any_rp,gbv_shw_rp,prc_hicp_cind,prc_hicp_midx,prc_hicp_manr,prc_hicp_mmor,prc_hicp_cann
10,road_tf_veh,road_tf_veh_h,road_tf_vehmov,road_pa_mov,road_tf_road,road_tf_road_h,road_tf_vehage,tran_r_vehst,tran_sf_roadve,tran_r_elvehst
11,ilc_odbt09,ilc_odbt08,sbs_ins_5a,isoc_sk_edic_i21,ilc_mdes04,isoc_cisci_prv,ilc_odbt06,ilc_odbt05,ilc_odbt07,ilc_mded05
12,migr_asyappctzm$dv_721,tps00191,tps00189,urb_percep,isoc_iw_imp,migr_asyumactm,migr_asyapp1pc,migr_asyappctza$dv_618,migr_asyappctzm,migr_dubto
13,mips_sa,tgs00107,urb_clivcon,urb_llivcon,ilc_caindform25b,ilc_peps11,ilc_peps11n,ilc_scp32$dv_2384,ilc_lvhd08,ilc_scp32
14,bop_eu6_q,gov_10q_ggnfa,bop_c6_q,naidsq_10_nf_tr,nasq_10_nf_tr,bop_c6_a,bop_euins6_m,gov_10a_main,bop_euins6_q,naidsa_10_nf_tr
15,bd_9ac_l_form_r2,isoc_cisci_prv,isoc_ciegi_rtx,cens_11ms_r3,bd_9eg_l_form_r2,road_tf_vehage,prc_hicp_fp,prc_hicp_aind,prc_hicp_midx,prc_hicp_cmon
16,sdg_06_10,ilc_mdho05,prc_dap12,cens_91dame,prc_dap13,tessi294,prc_dap14,prc_dap15,cens_01ndcomf,ilc_mdho03c
17,icw_pov_09,icw_pov_07,icw_pov_04,icw_pov_08,icw_pov_06,icw_pov_05,icw_pov_03,bop_fdi6_pos,bop_fdi6_flow,bop_fdi6_inc
18,isoc_ciegi_rtx,isoc_ec_ibgs,isoc_ec_inb,isoc_iiot_use,isoc_ci_ac_i,isoc_sk_how_i,lfso_22aswt05,lfso_22aswt01,lfso_22aswt03,ilc_pw08
19,isoc_ec_inb21,isoc_ciegi_rtx,inn_cis9_ecodr,isoc_ec_inb,isoc_cisci_prv,isoc_cisce_icn2,inn_prod,isoc_e_cvdn2,isoc_ciegi_rtx$dv_516,isoc_ci_mvin2
20,ef_lus_allcrops,ef_oluecsreg,ef_lu_ovcropesu,ef_lac_rootcrop,ef_lus_org,ef_lu_ovcropaa,ef_mporganic,ef_poirrig,apro_cpshr,iww_go_atygofl
21,trng_nfe13,isoc_iw_imp,trng_aes_149,trng_nfe15,trng_nfe16,inn_cis9_ecodr,isoc_cisce_ran2,trng_aes_147,trng_aes_151,trng_aes_152
22,enps_env_ww_con,env_ww_con,env_ww_genp,env_ww_genv,med_en21,sdg_06_20,ten00030,med_en47,env_wat_bal,med_en46
23,rail_tf_ns15_sk,rail_tf_ns10_sk,rail_tf_ns20_sk,rail_tf_ns_sk,rail_tf_ns15_uk,rail_tf_ns15_at,rail_tf_ns15_es,rail_tf_ns_uk,rail_tf_ns10_uk,rail_tf_ns20_at
24,tour_dem_exws,tour_dem_exac,tour_dem_extotw,tour_dem_expw,tour_dem_extot,tour_dem_exacw,tour_dem_extrw,tin00196,tin00195,tour_dem_expur
25,isoc_iw_imp,urb_clivcon,mips_sa,urb_llivcon,ilc_peps01,urb_percep,isoc_ci_hm,tepsr_lm411,ilc_caindform25b,ilc_caindform25
26,ilc_igtp04,ilc_mded04,ilc_mded05,urb_percep,ilc_mdes03,ilc_mddu05,ilc_mddu02,ilc_mddu04,ilc_mddu01,ilc_mddu03
27,lfso_05nowreh,educ_iste,bd_hgnace2_r3,educ_ilang,isoc_e_cvdn2,isoc_ciegi_rtx,tus_00educ,bd_salge1_size,lfso_05nowree,hlth_ehis_st3
28,urb_clivcon,ilc_pnp1,tespn050,ilc_pns1,ilc_pns7,tespn010,tespn110,tespn120,tipslc20,ilc_li09
29,urb_percep,naidsa_10_nf_tr,naidsq_10_nf_tr,mips_sa,naidsq_10_f_bs,nasa_10_nf_tr,nasq_10_nf_tr,isoc_iw_imp,migr_eirfs,lfso_06hlsaispr
30,ilc_lvho05b,tessi177,tessi176,tessi178,isoc_pibi_rni,ilc_lvho06,ilc_lvho06q,ilc_mdho03,isoc_ci_id_h,hbs_car_t313
31,mar_go_aa,mar_qg_qm_ewhk,mar_qg_qm_cwh,mar_go_qmc,mar_qg_qm_ewhp,mar_qg_qm_ewh,mar_qg_qm_ewhg,mar_qg_qm_ewht,mar_qg_qm_ewhd,mar_mg_am_pwhc
32,nasq_10_nf_tr,mips_sa,nasa_10_nf_tr,naidq_10_gdp,sts_sepr_m,sts_setu_m,sts_sepr_q,sts_sepp_q,sts_setu_q,sts_selb_m
33,ext_lt_intertrd,tet00028,mips_sa,nrg_ti_coifpm,ext_st_27_2020msbec,ext_st_eu27_2020sitc,ext_st_easitc,inn_c214,ext_st_eabec,ext_st_eu27_2020bec
34,lfsi_jhh_a,tps00181,isoc_cisce_ran2,med_ps423,tespm060,tps00182,gbv_ch_rp,inn_cis9_ecodr,inn_cis9_noin,isoc_cisci_sp
35,ilc_pns5,tespn090,tespn060,tespn020,tespn250,urb_percep,prc_hicp_cmon,prc_hicp_cind,prc_hicp_cann,prc_hicp_manr
36,isoc_e_cvdn2,sts_trtu_q,sts_trtu_m,prc_ppp_ind,sts_trtu_a,sts_inpr_q,sts_inpr_m,sts_inpr_a,ext_st_27_2020msbec,ei_eteu27_2020_m
37,hlth_rs_grd,hlth_rs_grd2,hlth_rs_grd2$dv_2825,isoc_iw_imp,urb_percep,acf_d_eq1,acf_d_lo1,hlth_rs_prsrg,hlth_rs_prs1,educ_itertc
38,iss_11sbbar,iss_18bfmmag,inn_cis10_gen,lfso_04ownmisco,iss_imp,inn_cis11_gen,acf_d_eq1,iss_21gvcsg,inn_cis9_ecodr,acf_d_lo1
39,egr_mne_n2sc,egr_mne,egr_mne_empw,isoc_iw_imp,egr_emp,inn_cis8_gen,inn_cis6_gen,inn_cis7_gen,inn_gen,inn_cis9_gen
40,isoc_iw_imp,isoc_sk_cskl_i,isoc_ec_iprb,isoc_eb_ain2,isoc_ci_hm,isoc_eid_ieid,isoc_ci_ac_i,isoc_ec_iprb21,avia_tf_apal,urb_percep
41,irt_h_mr3_m,irt_h_mr3_q,irt_st_m,irt_st_q,ei_mfir_m,irt_h_mr3_a,irt_st_a,teimf040,inn_cis4_ham,inn_cis6_prod
42,prc_hicp_midx,prc_hicp_fp,prc_hicp_mmor,prc_hicp_manr,prc_hicp_mv12r,prc_hicp_aind,prc_hicp_inw,prc_hicp_cmon,prc_hicp_cind,prc_hicp_cann
43,isoc_ec_iprb21,isoc_sk_cskl_i,isoc_eid_ieid,isoc_ec_iprb,isoc_ci_hm,isoc_iw_imp,isoc_ec_ibgs,isoc_ciegi_rtx,isoc_ec_inb,isoc_cicci_use
44,earn_gr_gpgr2ag,earn_gr_gpgr2,earn_gr_gpg,earn_gr_gpgr2ct,isoc_cisci_prv20,isoc_cisci_prv,earn_gr_gpgr2wt,isoc_ciegi_pb22,isoc_cisci_sp,isoc_ciegi_rtx
45,med_ps32,enps_ilc_secure,isoc_cisci_prv,isoc_cisci_prv20,isoc_cisce_ran2,isoc_ciegi_rtx,isoc_ec_inb21,isoc_iw_imp,isoc_pibi_rni,isoc_pibi_rni$dv_543
