question_id,table_id_rank_1,table_id_rank_2,table_id_rank_3,table_id_rank_4,table_id_rank_5,table_id_rank_6,table_id_rank_7,table_id_rank_8,table_id_rank_9,table_id_rank_10
0,urb_percep,inn_cis9_noin,fats_g1a_08,sbs_na_1a_se_r2,fats_g1a_03,sbs_na_ind_r2,sbs_na_dt_r2,sbs_na_2a_dfdn,sbs_na_con_r2,sbs_na_2a_dade
1,bop_its6_det,bop_eu6_q,bop_c6_q,bop_c6_a,prc_hicp_cmon,prc_hicp_cind,prc_hicp_manr,prc_hicp_mmor,prc_hicp_cann,prc_hicp_midx
2,isoc_cisci_sp,isoc_ciegi_rtx,isoc_cisci_sp20,isoc_cisci_prv20,isoc_cisci_prv,isoc_eb_ain2,isoc_eb_dan2,ef_ogaecs,isoc_sk_edic_i21,isoc_ciegi_pb22
3,sbs_pen_7a,isoc_iw_imp,acf_d_eq1,bop_euins6_m,bop_euins6_q,bop_euins6_a,educ_uoe_fini01,educ_uoe_fini02,sbs_pen_7b1,isoc_ec_iprb
4,avia_tf_apal,med_air4,avia_gor_ro,isoc_cisce_ran2,road_go_ta_nace,avia_gor_es,pat_ep_ripc,urt_pat_epipc,met_pat_epipc,pat_ep_nipc
5,sbs_sc_ind_r2,cult_ent_val,cult_ent_num,sbs_na_2a_dfdn,sbs_na_ind_r2,sbs_sc_con_r2,sbs_na_2c_own,sbs_na_indc_lgt,sbs_sc_2d_dfdn95,sbs_sc_2d_dfdn02
6,urb_percep,isoc_iw_imp,isoc_ciegi_rtx,isoc_ciegi_rtx$dv_516,migr_eilpop,bs_bs8ace_r2,bs_bs8cpa2_1,sbs_part_bsprd,acf_d_eq1,acf_d_lo1
7,urb_percep,inn_cis9_noin,prc_hicp_fp,prc_hicp_aind,prc_hicp_cmon,prc_hicp_inw,prc_hicp_midx,prc_hicp_manr,prc_hicp_mmor,prc_hicp_cind
8,urb_percep,isoc_iw_imp,iss_imp,isoc_pibi_rni,acf_d_eq1,isoc_ciegi_rtx,isoc_ciegi_rtx$dv_516,isoc_cimobp_usen2,isoc_eb_ain2,acf_d_lo1
9,bop_euins6_m,inn_cis5_coop,inn_cis4_coop,prc_hicp_cind,prc_hicp_cann,prc_hicp_manr,prc_hicp_mmor,prc_hicp_midx,prc_hicp_mv12r,prc_hicp_cmon
10,prc_hicp_fp,prc_hicp_aind,prc_hicp_cmon,prc_hicp_inw,prc_hicp_midx,prc_hicp_manr,prc_hicp_mmor,prc_hicp_cind,prc_hicp_mv12r,prc_hicp_cann
11,urb_percep,urb_clivcon,road_go_ta_nace,urb_ctran,urb_ltran,iss_11sbbar,ilc_mdes03$dv_2702,ilc_mdes03,urb_llivcon,isoc_cisci_prv
12,urb_percep,isoc_iw_imp,acf_d_eq1,acf_d_lo1,iss_11sbbar,inn_cis7_sucmet,iss_imp,isoc_cisci_prv,isoc_cisci_prv20,isoc_eb_p3dn2
13,mips_sa,urb_percep,urb_clivcon,iww_go_atygofl,iww_go_actygofl,bd_salge1_size_r,demo_r_pjanind3,road_go_na_rl3g,road_go_na_ru3g,pat_ep_ripc
14,gov_10a_main,gov_10q_ggnfa,naidsq_10_nf_tr,nasq_10_nf_tr,gov_eu_nfa,naidsa_10_nf_tr,nasa_10_nf_tr,bop_eu6_q,bop_c6_q,bop_c6_a
15,isoc_iw_imp,urb_percep,isoc_sk_cskl_i,isoc_ec_iprb,isoc_ec_iprb21,isoc_eid_ieid,bd_9ac_l_form_r2,isoc_ciegi_rtx,isoc_ec_ibgs,bd_9eg_l_form_r2
16,isoc_sk_edic_i21,cens_91dame,gov_10a_exp,urb_clivcon,nrg_ind_urtd,urb_llivcon,nrg_cb_bm,sts_inpp_m,sts_inppd_m,sts_inpr_m
17,isoc_ec_inb,isoc_ciegi_rtx,isoc_iw_imp,isoc_sk_cskl_i,isoc_ec_ibgs,isoc_cisci_prv,isoc_cisci_f,isoc_cisci_ip,isoc_iw_ap,isoc_ec_ibm
18,isoc_ciegi_rtx,isoc_iw_imp,isoc_ec_inb21,isoc_cisci_prv20,isoc_cisci_prv,isoc_ci_hm,urb_percep,lfso_18redsted,ilc_lvhl14n,lfso_18stwked
19,isoc_sk_edic_i21,bd_l_form,urb_cenv,bd_9n_r2,bd_9ac_l_form_r2,bd_9eg_l_form_r2,bd_salge1_size,urb_lenv,bd_hg,bd_hg_micro
20,ef_lus_allcrops,ef_oluecsreg,ef_lac_rootcrop,ef_lus_org,ef_mporganic,ef_poirrig,apro_cpshr,iww_go_atygofl,apro_cpnhr,road_go_na7ru3g
21,isoc_iw_imp,trng_aes_149,trng_aes_147,trng_aes_151,trng_aes_152,trng_aes_150,trng_aes_148,isoc_eid_ieid,isoc_sk_cskl_i,urb_percep
22,urb_percep,urb_cenv,urb_lenv,bd_9h_size_cl,isoc_cisce_ran2,sbs_na_1a_se_r2,road_go_ta_nace,bs_bs8ace_r2,env_air_emis,env_air_emis$dv_446
23,rail_tf_ns15_sk,rail_tf_ns10_sk,rail_tf_ns20_sk,rail_tf_ns_sk,rail_tf_ns15_uk,rail_tf_ns10_uk,rail_tf_ns_uk,isoc_cisce_ran2,rail_tf_ns15_at,rail_tf_ns15_es
24,urb_percep,isoc_cisci_prv,tour_occ_nin2,isoc_iw_imp,tour_occ_ninat,tgs00111,tour_occ_nim,tour_occ_nin3,enpe_mon_res,tin00172
25,urb_percep,mips_sa,isoc_iw_imp,inn_cis7_sucmet,urb_clivcon,acf_d_eq1,ilc_caindform25b,ilc_scp32$dv_2384,ilc_lvhd08,acf_d_lo1
26,ilc_igtp04,ilc_li03,ilc_igtp03,mips_sa,ilc_mdes02,ilc_li09b,ilc_mddw03,ilc_mded02,ilc_iw16,ilc_iw15
27,med_ps22,isoc_ci_ac_i,inn_cis8_prod,inn_cis9_prod,isoc_ciegi_rtx,isoc_cisce_ran2,isoc_cisci_sp,isoc_cisci_prv,earn_ses06_44,inn_cis4_ham
28,ilc_li70,ilc_li09,mips_sa,urb_clivcon,urb_llivcon,ilc_caindform25b,isoc_ciegi_ac,ilc_li22b,ilc_li22,ilc_caindform25
29,isoc_e_cvdn2,inn_cis8_prod,inn_cis9_prod,isoc_cisce_ran2,isoc_ciegi_rtx,isoc_cisci_sp,isoc_ciegi_pb22,isoc_cisci_sp20,isoc_sk_edic_i21,isoc_cisci_prv20
30,isoc_iw_imp,hbs_car_t313,isoc_ciegi_rtx,isoc_ec_ibgs,isoc_ec_inb,urb_percep,iss_11sbbar,isoc_pibi_rni,isoc_cisci_ip,isoc_cisci_ip20
31,mar_qg_qm_ewhk,mar_qg_qm_ewh,mar_qg_qm_pwho,isoc_iw_imp,mar_qg_qm_cwh,mar_qg_qm_ewhp,mar_qg_qm_ewhg,mar_qg_qm_ewht,mar_qg_qm_ewhd,mar_go_qm_de
32,urb_percep,isoc_iw_imp,earn_ses_agt24,earn_ses_agt20,earn_ses06_24,earn_ses06_20,earn_ses10_24,earn_ses18_20,earn_ses10_20,earn_ses14_24
33,ext_lt_intertrd,tet00028,mips_sa,nrg_ti_coifpm,isoc_e_envn2,ext_st_27_2020msbec,ei_eteu27_2020_m,naidq_10_gdp,inn_c214,ext_st_eabec
34,isoc_sk_cskl_i,isoc_ec_iprb,isoc_ec_iprb21,isoc_iw_imp,isoc_ci_hm,isoc_eid_ieid,isoc_cicci_use,isoc_cicci_use$dv_514,isoc_ec_ifi20,isoc_ec_ibuy
35,isoc_cisci_prv20,isoc_cisci_prv,gov_10q_ggnfa,naidsq_10_nf_tr,nasq_10_nf_tr,ilc_lvhl03,urb_clivcon,mips_sa,lfso_05nowre2,prc_hicp_cind
36,urb_percep,inn_cis9_noin,isoc_iw_imp,road_go_na_ru3g,road_go_na_rl3g,isoc_sk_cskl_i,iww_go_atyca,isoc_cisci_sp,isoc_ciegi_rtx,isoc_ciegi_pb22
37,ilc_hch03,ilc_hch04,ilc_hch20,acf_d_eq1,isoc_iw_imp,acf_d_lo1,urb_percep,iss_imp,iss_11sbbar,hlth_rs_grd
38,acf_d_eq1,acf_d_lo1,ert_h_eur_m,ert_h_eur_q,avia_tf_apal,road_go_ta_nace,acf_d_lo,acf_d_eq,urb_percep,iss_imp
39,bop_euins6_m,bop_euins6_q,bop_euins6_a,isoc_iw_imp,bop_its6_det,bop_fdi6_pos,bop_fdi6_inc,bop_fdi6_flow,bop_fdi6_geo,bop_its6_tot
40,isoc_iw_imp,isoc_ci_hm,isoc_sk_cskl_i,isoc_ec_iprb21,isoc_eid_ieid,isoc_ec_iprb,isoc_eb_ain2,isoc_ci_ac_i,inn_cis7_sucmet,bop_its6_det
