question_id,table_id_rank_1,table_id_rank_2,table_id_rank_3,table_id_rank_4,table_id_rank_5,table_id_rank_6,table_id_rank_7,table_id_rank_8,table_id_rank_9,table_id_rank_10
0,fats_g1a_08,urb_percep,fats_activ,fats_g1b_08,fats_ctrl,inn_cis9_noin,fats_g1a_rd,gov_10a_taxag,naida_10_a10,naidsa_10_nf_tr
1,bop_its6_det,fats_ctrl,bop_euins6_m,bop_euins6_q,fats_g1b_08,bop_fdi6_pos,bop_euins6_a,bop_fdi6_inc,bop_fdi6_flow,naidsq_10_f_bs
2,isoc_cisci_prv,isoc_cisci_sp20,isoc_cisci_sp,isoc_cisci_prv20,isoc_ciegi_rtx,isoc_ciegi_pb22,isoc_sk_edic_i21,gov_10a_exp,nama_10_cp18,nama_10_co3_p3
3,agr_r_animal,sbs_pen_7a,isoc_iw_imp,acf_d_eq1,bop_euins6_m,bop_euins6_q,bop_euins6_a,educ_uoe_fini01,educ_uoe_fini02,isoc_sk_cskl_i
4,avia_tf_apal,pat_ep_ripc,urt_pat_epipc,met_pat_epipc,pat_ep_nipc,pat_ep_npct,med_air4,isoc_ci_ac_i,sts_inpi_m,road_go_ta_nace
5,isoc_sk_cskl_i,isoc_cisci_prv,isoc_cisci_prv20,isoc_ciegi_rtx,sbs_sc_ind_r2,isoc_cisci_sp,isoc_cisci_sp20,cult_ent_val,cult_ent_num,gov_10a_main
6,urb_percep,isoc_iw_imp,isoc_ci_hm,isoc_sk_cskl_i,isoc_ciegi_rtx,migr_eilpop,isoc_ec_iprb21,isoc_eid_ieid,isoc_ec_iprb,isoc_ciegi_rtx$dv_516
7,urb_percep,prc_hicp_fp,prc_hicp_aind,prc_hicp_cmon,prc_hicp_inw,prc_hicp_midx,prc_hicp_manr,prc_hicp_mmor,hbs_str_t211,prc_hicp_cind
8,urb_percep,isoc_iw_imp,iss_imp,iss_11sbbar,road_go_ta_dctg,isoc_pibi_rni,bop_fdi6_flow,fats_out3,mar_go_qm_bg,mar_go_qm_mt
9,lc_rstruc_r2,lc_rnum1_r2,lc_rcost_r2,lc_rnum2_r2,lc_rstu_r2,sbs_sc_ovw,bd_hg,road_go_ta_nace,bd_hg_micro,bd_9pm_r2
10,isoc_iw_imp,urb_percep,isoc_ciegi_rtx,inn_cis8_proc,prc_hicp_fp,prc_hicp_aind,prc_hicp_cmon,prc_hicp_inw,prc_hicp_midx,prc_hicp_manr
11,urb_percep,ilc_odbt10,urb_clivcon,urb_cenv,urb_lenv,road_go_ta_nace,urb_ctran,ilc_odbt11,urb_ltran,ilc_mdes03$dv_2702
12,urb_percep,isoc_iw_imp,acf_d_eq1,isoc_ci_ac_i,acf_d_lo1,inn_cis7_sucmet,iss_11sbbar,iss_imp,migr_asypenctzm$dv_723,tps00190
13,pat_ep_ripc,mips_sa,bd_salge1_size_r,demo_r_pjanind3,road_go_na_rl3g,road_go_na_ru3g,proj_19rdbi3,pat_ep_rtec,tour_occ_nin2,pat_ep_rtot
14,gov_10q_ggnfa,gov_10a_main,gov_10a_taxag,naidsq_10_nf_tr,nasq_10_nf_tr,bop_euins6_m,isoc_ciegi_ac,gov_eu_nfa,naidsa_10_nf_tr,nasa_10_nf_tr
15,urb_percep,prc_hicp_fp,prc_hicp_aind,prc_hicp_inw,prc_hicp_cmon,prc_hicp_midx,prc_hicp_manr,prc_hicp_mmor,prc_hicp_cind,prc_hicp_cann
16,isoc_sk_edic_i21,isoc_sk_cskl_i,cens_91dame,gov_10a_exp,urb_clivcon,nrg_ind_urtd,urb_llivcon,nrg_cb_bm,sts_inpp_m,sts_inppd_m
17,isoc_iw_imp,isoc_iw_ap,isoc_ec_inb,isoc_ciegi_rtx,isoc_cisci_f,isoc_cisci_ip,isoc_cisci_prv,isoc_sk_cskl_i,isoc_ec_ibgs,mips_sa
18,urb_percep,isoc_ciegi_rtx,isoc_ec_inb21,isoc_cisci_prv20,isoc_cisci_prv,isoc_ci_hm,isoc_iw_imp,isoc_ci_ifp_iu,isoc_ec_inb,isoc_ci_cfp_cu
19,isoc_sk_edic_i21,urb_cenv,bd_l_form,bd_9ac_l_form_r2,bd_9eg_l_form_r2,bd_salge1_size,bd_hg,bd_9pm_r2,urb_lenv,bd_9n_r2
20,bop_euins6_m,ef_lus_allcrops,bop_euins6_q,ef_oluecsreg,bop_euins6_a,ef_lac_rootcrop,ef_lus_org,bop_euins6_iip,apro_cpnhr_h,apro_cpshr
21,isoc_iw_imp,trng_aes_149,trng_aes_147,trng_aes_151,trng_aes_152,trng_aes_150,trng_aes_148,mar_go_qm_si,mar_go_qm_mt,mar_go_qm_bg
22,isoc_cisce_ran2,urb_percep,urb_cenv,urb_lenv,isoc_eb_ain2,isoc_ciwebn2,bs_bs8ace_r2,road_go_ta_nace,bs_bs8cpa2_1,sbs_part_bsprd
23,rail_tf_ns15_sk,rail_tf_ns10_sk,rail_tf_ns20_sk,rail_tf_ns_sk,rail_tf_ns15_uk,rail_tf_ns15_lt,met_pat_epipc,rail_tf_ns10_uk,rail_tf_ns20_lt,rail_tf_ns10_lt
24,isoc_cisci_prv,urb_percep,isoc_iw_imp,tour_occ_nin2,fats_g1a_08,ilc_mdes12b,ilc_mdes12a,tour_occ_ninat,tgs00111,isoc_cisci_sp
25,urb_percep,bop_euins6_m,mips_sa,bop_euins6_q,migr_dubto,migr_dubti,migr_dubri,migr_dubro,migr_dubdi,migr_dubdo
26,ilc_igtp04,mips_sa,isoc_cisci_sp20,isoc_cisci_sp,isoc_cisci_prv20,isoc_cisci_prv,isoc_ciegi_rtx,urb_percep,ilc_li03,ilc_igtp03
27,isoc_ci_ac_i,med_ps22,isoc_ciegi_rtx,isoc_sk_how_i,isoc_cisci_sp,isoc_cisci_prv,hlth_ehis_st3,isoc_cisci_sp20,isoc_cisci_prv20,isoc_ciegi_pb22
28,isoc_sk_cskl_i,ilc_li70,gov_10q_ggnfa,lfso_06otbnagps,naidsq_10_f_bs,spr_exp_fho,spr_exp_fdi,spr_exp_fun,inn_cis9_env,ilc_li09
29,isoc_ec_iprb,fats_g1a_08,fats_ctrl,fats_g1b_08,ext_lt_intertrd,fats_activ,isoc_cisci_sp,isoc_cisci_prv,isoc_ciegi_rtx,isoc_cisci_sp20
30,hbs_str_t224,isoc_iw_imp,mips_sa,bop_euins6_a,iss_11sbbar,urb_percep,urb_clivcon,hbs_car_t313,lc_n08stu_r1,isoc_ec_inb
31,isoc_ci_ac_i,urb_percep,isoc_iw_imp,mar_qg_qm_ewhk,mar_qg_qm_ewh,mar_qg_qm_pwho,isoc_sk_how_i,mar_qg_qm_cwh,mar_qg_qm_ewhp,mar_qg_qm_ewhg
32,urb_percep,isoc_ciegi_ac,proj_19ndbi,isoc_iw_imp,demo_pjanind,bd_9bd_sz_cl_r2$dv_585,bd_9fh_sz_cl_r2,bd_9bd_sz_cl_r2,bd_9b_size_cl,bd_9f_size_cl
33,ext_lt_intertrd,isoc_ciegi_ac,naidq_10_gdp,naida_10_gdp,nrg_ti_coifpm,tet00028,inn_c214,lfso_16ymgnednc,lfso_16ymgnedns,naida_10_a10
34,isoc_sk_cskl_i,isoc_ci_hm,mips_sa,isoc_ec_iprb,isoc_cisci_prv20,isoc_cisci_prv,isoc_ec_iprb21,isoc_iw_imp,sbs_r_nuts2021,isoc_ci_ac_i
35,gov_10q_ggnfa,cult_trd_prt,isoc_cisci_prv,isoc_cisci_prv20,spr_rec_sumt,urb_clivcon,fats_g1b_08,fats_ctrl,fats_g1b_rd,fats_ctrl_rd
36,urb_percep,inn_cis9_noin,isoc_iw_imp,isoc_sk_cskl_i,isoc_cisci_sp,isoc_ciegi_rtx,isoc_cisci_prv,isoc_ciegi_pb22,isoc_cisce_ran2,inn_cis4_ham
37,ilc_hch03,ilc_hch04,ilc_hch20,acf_d_eq1,isoc_iw_imp,acf_d_lo1,hlth_rs_grd,lfso_04ownmisco,urb_percep,iss_imp
38,mips_sa,ert_eff_ic_q,iss_barr,acf_d_eq1,acf_d_lo1,acf_p_pu,ert_h_eur_m,ert_h_eur_q,dt_turn_n46_r2,avia_tf_apal
39,bop_euins6_m,isoc_iw_imp,bop_euins6_q,bop_euins6_a,bop_its6_det,bop_fdi6_pos,bop_fdi6_inc,bop_fdi6_flow,bop_fdi6_geo,bop_its6_tot
40,isoc_iw_imp,isoc_ci_hm,isoc_sk_cskl_i,isoc_ci_ac_i,urb_percep,isoc_ec_iprb21,isoc_eid_ieid,isoc_ec_iprb,isoc_cisci_prv,ef_olsecsreg
41,isoc_cisci_prv20,isoc_cisci_prv,isoc_ciegi_rtx,migr_dubri,migr_dubro,migr_dubto,migr_dubti,migr_dubdi,migr_dubdo,isoc_cisci_sp
42,prc_hicp_midx,prc_hicp_fp,prc_hicp_mmor,prc_hicp_manr,prc_hicp_mv12r,prc_hicp_aind,prc_hicp_inw,prc_hicp_cmon,prc_hicp_cind,prc_hicp_cann
43,isoc_ci_hm,isoc_sk_cskl_i,isoc_cisci_prv,isoc_eid_ieid,isoc_ec_iprb21,isoc_ec_iprb,isoc_iw_imp,isoc_cisci_prv20,isoc_ciegi_rtx,isoc_ec_ibgs
44,prc_hicp_cmon,isoc_ciegi_pb22,prc_hicp_fp,prc_hicp_aind,prc_hicp_inw,prc_hicp_manr,prc_hicp_mmor,prc_hicp_midx,prc_hicp_cind,prc_hicp_cann
45,isoc_ec_inb21,isoc_ciegi_rtx,isoc_cisce_ran2,bs_bs8ace_r2,bs_bs8cpa2_1,sbs_part_bsprd,bop_its6_det,inn_cis12_exp,inn_cis11_exp,inn_cis12_expt
46,isoc_sk_cskl_i,isoc_sk_how_i,isoc_cisci_sp,isoc_cisci_sp20,isoc_ciegi_rtx,isoc_ciegi_pb22,env_waselee,env_waseleeos,cens_01nadnac,isoc_cicci_use
47,urb_percep,tran_sf_roadve,isoc_iw_imp,road_tf_vehage,road_tf_veh_h,road_tf_veh,med_rd2,enps_road_eqs_car,rail_tf_ns20_fr,road_eqs_roaene
48,isoc_ciegi_ac,isoc_ciegi_rtx,isoc_iw_imp,isoc_sk_iskl_i,isoc_cisci_prv,urb_percep,isoc_cisce_ran2,isoc_cisci_f,isoc_cicci_use,isoc_ec_iprb
49,road_go_ta_nace,prc_hicp_cmon,prc_hicp_mmor,prc_hicp_manr,prc_hicp_cind,prc_hicp_cann,prc_hicp_midx,prc_hicp_fp,prc_hicp_mv12r,cens_11htts_r2
50,isoc_ci_ac_i,urt_pat_epipc,met_pat_epipc,pat_ep_ripc,pat_ep_nipc,urb_cenv,urb_lenv,isoc_cisce_ran2,lc_n08stu_r1,bd_9h_size_cl
51,bop_gdp6_q,mips_sa,nasa_10_f_tr,pat_ep_ripc,gov_10a_main,naidsq_10_f_bs,met_pat_epipc,nasa_10_f_bs,gov_10dd_edpt2,nasa_10_f_oc
52,rail_tf_ns10_dk,rail_tf_ns20_dk,rail_tf_ns_dk,rail_tf_ns15_dk,fats_g1a_08,urb_percep,rail_tf_ns20_fr,cens_11ms_r3,rail_tf_ns10_lt,mar_go_qm_si
53,iww_go_actygo,isoc_iw_imp,iww_go_actygofl,iww_go_atygo,iww_go_atyca,iww_go_atygofl,avia_gor_uk,inn_cis9_prod,inn_cis8_prod,isoc_eb_ain2
54,isoc_sk_cskl_i,isoc_iw_imp,isoc_ciegi_rtx,isoc_cisci_prv,isoc_ciegi_pb22,isoc_cisci_prv20,isoc_cisci_sp,isoc_sk_edic_i21,isoc_cisci_sp20,road_go_ta_nace
55,ext_st_eu27_2020sitc,ext_st_easitc,ei_isrt_m,isoc_cisci_prv,isoc_cisci_sp,gov_10q_ggfa,nrg_ti_coifpm,sts_sepr_m,ext_st_eabec,sts_setu_m
56,urb_percep,prc_dap13,prc_dap12,cult_trd_prt,bop_euins6_a,mar_go_qm_be,mar_go_qm_de,mar_go_qm_nl,mar_go_qm_pt,mar_go_qm_uk
