question_id,table_id_rank_1,table_id_rank_2,table_id_rank_3,table_id_rank_4,table_id_rank_5,table_id_rank_6,table_id_rank_7,table_id_rank_8,table_id_rank_9,table_id_rank_10
0,teina438_r2,teina422_r2,enps_nama_10_a10,env_ac_egss3,teina446_r2,teina436_r2,teina420_r2,sdg_12_61,teina444_r2,med_ec5
1,educ_fiaid,educ_uoe_fini05,med_ec0,gov_eu_nfa,educ_uoe_fini06,lfso_10fvaredu$dv_609,educ_fiexpc,med_ps26,earn_mw_avgr1,ilc_lvhd02
2,icw_sr_05,tec00121,prc_ppp_conv,ilc_di12b,tessi191,ilc_di12c,sdg_10_10,ilc_di12,tessi190,educ_fiexpc
3,sbs_pen_7b1,sbs_pen_enteea,sbs_pen_7e,sbs_pen_7c,gov_eu_fa,sbs_pen_7b2,tag00123,tespm060,gov_eu_nfa,ilc_pns5
4,enps_avia_typ,med_air3,med_air4,avia_eq_arc_agereg,mar_qg_qm_ewhk,avia_eq_arc_age,rd_p_sen,ipr_da_typ,tessi291,cens_hndwsize
5,teina400_r2,teina416_r2,teina412_r2,teina408_r2,teina424_r2,teina432_r2,teina428_r2,teina404_r2,sdg_09_70,teina402_r2
6,gbv_ch_rp,crim_plce,gbv_st_rp,gbv_ipv_rp,gbv_npv_rp,gbv_any_rp,gbv_shw_rp,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq
7,apro_mk_fatprot,tag00039,med_ag32,org_aprod_h,tag00041,tag00038,med_ag33,tag00037,enps_apro_mt_ls,tag00070
8,med_en3,enps_tour_occ_arnat,rail_eq_pa_nca,enps_tour_cap_nat,enps_tour_occ_ninat,gbv_any_cnq,gbv_ipv_cnq,gbv_npv_cnq,tin00176,tin00181
9,gbv_npv_rp,gbv_ipv_rp,gbv_ch_rp,gbv_any_rp,gbv_shw_rp,gbv_npv_perp,gbv_st_perp,gbv_st_rp,gbv_ch_perp,trng_nfe18
10,road_pa_mov,enps_road_eqs_car,tran_hv_ms_psmod,sdg_09_50,road_eqr_carbua,road_eqs_busveh,road_eqr_busveh,road_eqs_bussea,road_eqr_bussea,road_eqr_bum
11,ilc_odbt09,ilc_odbt08,ilc_odbt07,ilc_odbt06,ilc_odbt05,ilc_mdes03$dv_2702,tespm020,tessi014,ilc_odbt03,sdg_06_10
12,tps00191,tps00189,migr_asyappctza$dv_618,sdg_10_60,sdg_09_40,tps00194,migr_asyapp1pc,migr_asyapp1mp,rd_p_sen,tps00172
13,ilc_lvhd01,tgs00107,ilc_peps11,ilc_peps11n,tespm060,tesov092,tespn120,tespn010,tespn110,tespn100
14,gov_eu_nfa,gov_eu_fa,tipspd20,tipspc20,tepsr_wc310,tipspd26,tipspc26,tipspd24,tipspc24,tipspd10
