question_id,table_id_rank_1,table_id_rank_2,table_id_rank_3,table_id_rank_4,table_id_rank_5,table_id_rank_6,table_id_rank_7,table_id_rank_8,table_id_rank_9,table_id_rank_10
0,prc_dap13,bop_its_det,med_ec5,isoc_bde15ag,tin00074,enpe_nama_10_a10,enps_nama_10_a10,bop_its_str,sdg_12_61,teina080
1,enps_educ_figdp,enpe_educ_figdp,med_ps26,educ_fipubin,educ_fitotin,educ_figdp,educ_uoe_fini05,educ_uoe_fine08,educ_uoe_fine06,educ_uoe_fina01
2,icw_sr_05,tessi190,ilc_di12,tessi191,ilc_di12b,ilc_di12c,hbs_exp_t134,tipsho41,teina021,tipsna51
3,sbs_pen_7c,env_ac_epite,sbs_pen_7a,sbs_pen_7e,sbs_pen_7d,sbs_pen_7b1,inn_cis5_exp,inn_cis5_pub,sbs_pen_7b2,inn_cis5_bas
4,tag00116,avia_eq_arc_typ,enps_avia_typ,avia_eq_arc_age,avia_eq_arc_typreg,avia_eq_arc_agereg,med_air3,mar_go_qm_c2006,enps_avia_if,road_go_ta_tcrg
5,teina422_r2,teina406_r2,teina410_r2,teina408_r2,teina404_r2,teina432_r2,teina420_r2,teina424_r2,teina412_r2,teina446_r2
6,sbs_cre_geea,sbs_cre_gneea,sbs_cre_pacc,ilc_lvho04h,ilc_lvph02h,bs_bs3_01,bs_bs4_01,sbs_cre_elegsta,sbs_cre_icat,crim_plce
7,tag00039,apro_mk_strpd,tag00041,apro_mk_pobta,apro_mk_farm,med_ag32,tag00037,apro_mk_cola,apro_mk_colm,agr_r_milkpr
8,iww_go_atygo07,iww_go_atygo,iww_go_actygo07,iww_go_atygofl,iww_go_actygo,nrg_pc_203_h,nrg_pc_202_h,rail_go_grgood7,nrg_pc_202,rail_go_grpgood
9,gbv_npv_frq,gbv_npv_ed,gbv_npv_type,gbv_npv_age,gbv_npv_du,gbv_npv_cob,gbv_npv_cnq,gbv_npv_perp,gbv_npv_rp,gbv_npv_lim
10,road_eqs_busage,road_eqs_busveh,road_eqs_busmot_h,road_eqr_bum,road_eqr_bussea,rail_go_typeall,avia_par_cz,rail_tf_ns20_cz,road_pa_mov,enpe_road_pa
11,ilc_peps06,ilc_pees03,tespm010,ilc_pees04,ilc_pees08,ilc_odbt08,ilc_odbt07,ilc_pees07,ilc_odbt06,ilc_pees05
12,migr_asyapp1pc,sdg_10_60,tps00191,migr_asyapp1mp,tps00189,migr_asyapp1up,migr_asyctz,tps00193,migr_asydctzy,migr_asyappctza$dv_618
13,tipslc10,sdg_01_10,tgs00107,tespm040,tepsr_lm411,ilc_pecs01,tepsr_lm410,ilc_peps01n,ilc_peps01n$dv_1161,ilc_peps01n$dv_1944
14,gov_eu_nfa,tipsfs14,fats_ctrl,fats_out_part,fats_activ,fats_out_dom,fats_out_activ,gov_eu_fa,env_ac_exp1r2,gov_eu_debt
15,road_eqs_busmot_h,road_eqr_bum,med_rd3,enps_rail_eq,med_rd2,road_ec_entveh,tour_dem_extrw,road_go_na_tgtt,sdg_13_31,road_eqs_carage
16,ilc_mdho05,sdg_06_10,tessi293,ilc_mdho02,tessi294,ilc_mdho03,ilc_mdho02c,hlth_dhc080,ilc_mdho03c,hlth_dhc090
17,icw_pov_03,icw_pov_04,icw_pov_05,icw_pov_09,icw_pov_06,ilc_lvph02,icw_pov_07,icw_pov_08,ilc_lvph03,ilc_lvph01
18,edat_lfs_9914,edat_lfs_9903,edat_lfse_03$dv_1701,edat_lfse_03$dv_598,edat_lfse_03,cens_01news,edat_lfs_9904,trng_lfs_18,edat_lfs_9912$dv_1703,edat_lfs_9912
19,ilc_mdho02,tessi293,ilc_mdho05,ilc_mdho02c,sdg_06_10,hlth_dhc080,tessi294,ilc_mdho03,ilc_mdho03c,hlth_dhc090
20,tag00064,apri_ap_crpouta,tag00063,tag00062,apri_ap_anouta,tag00067,apri_ap_ina,tag00060,tag00061,apri_pi95_proda
21,trng_nfe2,trng_nfe18,trng_nfe16,trng_nfe8,trng_nfe9,trng_nfe14,trng_nfe15,trng_aes_170,trng_aes_189,trng_aes_124
22,med_en46,med_en47,env_ww_con,enps_env_ww_con,sdg_06_20,med_en24,enps_env_wastrt,env_wastrt,env_ac_exp2,ten00030
23,rail_tf_ns15_sk,rail_tf_ns10_sk,rail_tf_ns20_sk,rail_tf_ns_sk,rail_tf_ns15_si,rail_tf_ns15_cz,rail_tf_ns15_pl,rail_tf_ns15_hr,rail_tf_ns15_hu,rail_tf_ns15_lv
24,tin00196,tin00195,tour_dem_tninc,tour_occ_nim,med_to13,tour_occ_ninat,tour_dem_tnage,tour_occ_ninrmw,tin00171,tour_dem_tnq1
25,tespm040,tepsr_lm411,ilc_peps01n,ilc_peps01n$dv_1944,ilc_peps01n$dv_1161,tepsr_lm412,ilc_peps05n$dv_1962,ilc_peps05n,ilc_peps06n$dv_1961,ilc_peps06n
26,ilc_igtp03,ilc_igtp04,med_ps312,tespm010,tessi012,tespn100,ilc_pns6,tessi120,tessi022,ilc_iw01$dv_1302
27,educ_iste,bd_9bd_sz_cl_r2$dv_585,bd_9bd_sz_cl_r2,bd_9bd_sz_cl_r2$dv_61,bs_bs5_04,bd_9b_size_cl,sbs_sc_1b_se95,educ_uoe_enra15,educ_enrl1tl,educ_uoe_enra07
28,tipslc20,tps00184,sdg_01_20a,sdg_01_20,tipslc10,sdg_01_10,enpe_ilc_li09,tesov252,tesov250,ilc_li09b
29,teiet210,ext_st_eabec,ext_st_easitc,tet00066,ei_etea_m,ert_h_eur_a,tet00065,ext_lt_intertrd,irt_h_mr3_a,ext_lt_mainez
30,tessi176,tessi177,tessi178,ilc_lvho06q,ilc_lvho06,tps00157,tessi122,mar_pa_qm_mt,ilc_peps13,ilc_peps05
31,mar_go_am_dk,mar_go_qm_dk,mar_sg_am_cw,mar_qg_qm_cwh,mar_go_am_nl,mar_go_am_no,mar_go_am_de,mar_go_am_hr,mar_go_am_se,mar_mg_am_cwt
32,tipsna30,bop_its_deth,enpe_ext_bal,egi_tr4,teiet215,inn_bas,ext_ser_bec01,ext_tec08,egi_tr2,sbs_pen_enteea
33,tet00028,teiet300,teiet010,bop_exms6_q,egi_tr1,nrg_134m,tipsex13,nrg_135m,nama_10_exi,namq_10_exi
34,lfsi_jhh_a,med_ps423,tps00182,tespm060,tessi122,ilc_iw03,lfsa_urgacob$dv_1762,lfsa_urgacob,lfsq_urgacob,ilc_iw02$dv_2665
35,tespn020,tespn060,ilc_pns2,ilc_pnp2$dv_1988,ilc_pnp2,tespn090,ilc_pnp10,ilc_di03,icw_sr_01,ilc_di15$dv_1986
36,rail_tf_ns10_lu,rail_tf_ns_lu,rail_tf_ns15_lu,rail_tf_ns20_lu,avia_gor_lu,avia_par_lu,mar_go_qm_c2010,rail_tf_ns10_ee,rail_tf_ns10_be,enpe_rail_go
37,hlth_rs_grd2$dv_2825,hlth_rs_grd2,hlth_rs_wkmg2,hlth_rs_grd,hlth_rs_prs2$dv_2824,hlth_rs_prs2,hrst_st_nfieage,trng_aes_166,hsw_occ_ina,hrst_st_nfiesex
38,egi_so1,enpe_tour_dem_tttot,enps_tour_dem_tttot,iss_18sojobl,iss_18bfmmag,iss_18bfbck,dt_turn_n46_r2,iss_21gvcsg,iss_21gvcss,iss_18bfmove
39,enpe_ext_intro,ext_lt_introeu27_2020,migr_pop9ctz,fats_out_part,egr_mne,fats_ctrl,lfst_lmbpcita,egr_mne_n2sc,lfst_lmbpcoba,lfst_lmbpcitg
40,avia_eq_arc_agereg,avia_eq_arc_age,avia_eq_arc_typreg,avia_eq_arc_typ,enps_avia_typ,med_air3,fish_ld_fi,rail_tf_ns20_fi,avia_tf_acc,avia_par_fi
41,teimf040,ei_mfir_m,irt_st_m,enpe_irt_st,irt_h_mr3_m,irt_st_q,irt_h_mr3_q,irt_h_mr3_a,irt_st_a,enpe_irt_ld
42,prc_hicp_midx$dv_2582,prc_hicp_midx$dv_2583,prc_hicp_midx,teicp120,prc_hicp_aind$dv_2561,prc_hicp_aind$dv_2581,prc_hicp_aind,prc_hicp_cind,prc_hicp_fp,teicp280
43,lfst_lmbpcoba,tps00005,lfst_lmbpcobg,lfst_lmbercoba,lfst_lmbpcobed,demo_popmdctb,lfst_lmbercobg,demo_popmdctz,lfst_lmbercobed,tet00037
44,tesem180,sdg_05_20,earn_gr_hgpg,earn_gr_gpgr2ag,earn_gr_gpgr2,earn_gr_gpg,ilc_pnp13,earn_gr_gpgr2wt,tesem060,earn_gr_goeg
45,ef_oga_rdsex,enps_ilc_secure,ef_oga_rdsize,tgs00047,ef_ogardsexage,ef_ogardlegecs,tessi125,ilc_lvho02,ilc_li08,cens_11htts_r2
46,tps00100,tps00098,tps00099,tps00101,tps00102,dsb_sprex02,env_ac_exp2,dsb_sprex03,tps00105,dsb_sprex01
47,road_go_ta7tg,med_rd3,road_eqs_roaene,med_rd2,road_eqs_roaene_h,road_go_na7tgtt,road_eqs_lorroa,road_eqs_lorroa_h,road_go_na7rl3g,road_go_na7ru3g
48,mar_go_qmc,mar_qg_qm_ewhd,mar_go_qm_c2024,mar_go_qm_es,mar_go_qm_nl,mar_go_qm_be,mar_go_qm_fr,mar_go_qm_pl,mar_go_qm_de,mar_go_qm_el
49,ilc_mdho02c,ilc_mdho02,tessi293,ilc_mdho05,sdg_06_10,tepsr_sp210,hlth_dhc080,ilc_chmd04,tepsr_spi130,ilc_chmd01
50,med_en46,ten00030,enps_env_ww_con,med_en47,env_ww_con,sdg_06_20,enps_env_wat_cov,env_wat_pop,enps_env_wasacc,enps_ilc_sanit
51,tipsii50,tipsii40,tipsii20,tipsii30,tipsfs13,tipspd30,tipsii10,tipsfs11,tipspd13,tec00106
52,rail_tf_ns10_dk,rail_tf_ns20_dk,rail_tf_ns15_dk,rail_tf_ns_dk,rail_tf_ns10_no,rail_tf_ns10_se,rail_tf_ns10_nl,rail_tf_ns10_de,rail_tf_ns10_ee,rail_tf_ns10_lu
53,mar_go_qm_c2020,mar_go_qm_c2024,mar_go_qm_c2022,mar_go_qm_c2018,mar_mg_am_pvh,mar_go_qm_c2012,mar_go_qm_c2002,mar_go_qm_c2014,mar_go_qm_c2016,mar_go_qm_c2006
54,lfsa_egana,cens_01nanac,enps_lfsa_ergan,tipslm15,tipslm60,enpe_lfsa_ergan,teilm021,lfsa_egan2,lfsq_egan2,lfsq_egana
55,enpe_sts_trtu1,teiis240,ei_isrt_q,ei_isrt_m,teiis270,teiis260,teiis250,teiis200,teiis230,sts_trtu_a
56,iww_go_anave,iww_go_qnave,iww_ec_ent_n,iww_ec_invest,iww_go_anavef06,iww_ec_employ,iww_ec_ent_c,iww_go_anavefl,ttr00007,iww_ac_nbac
57,ilc_sbjp05,ilc_sbjp02,ilc_sbjp01,ilc_sbjp03,ilc_sbjp04,ilc_li08,tespm060,tessi121,tessi125,ilc_mdho06q
58,tps00204,enps_demo_gind,tps00206,tps00216,proj_stp22,demo_gind,urt_gind3$dv_1583,urt_gind3,demo_r_gind3$dv_1542,demo_r_gind3
59,cei_wm010,ten00138,cei_pc032,fish_ld_pl,env_wasoper,mar_go_am_pl,env_wasflow,mar_go_qm_pl,rail_tf_ns20_pl,rail_tf_ns15_pl
60,iss_21covb,iss_21covt,iss_21covis,isoc_e_cvd,isoc_e_cvdn2,hlth_rs_wkmg,hlth_rs_prshp1,fats_ctrl,fats_out_part,tin00110
61,tai07,env_ac_co2fp,sdg_13_40,tai08,sdg_02_60,cei_gsr011,egi_co2_1,org_cropar_h2,tai06,sdg_13_31
62,tipser20,teimf250,tipser13,tipser10,sdg_08_10,tipsna40,med_ec9,ert_eff_ic_m,ert_eff_ic_a,ert_eff_ic_q
63,tipspc20,tipspc15,tipspc13,tipspc25,tipspc23,tipspc10,tipspc16,tipspd15,tipspc14,tipspd13
64,sdg_12_31,med_eg_all,enps_env_wasgenh,ten00110,ten00106,cei_pc034,cei_pc032,med_en22,cei_pc031,cei_pc040
65,educ_uoe_perp05,educ_uoe_perp04,educ_iste,educ_uoe_perd05,educ_pers1d,educ_pers1t,educ_uoe_fini06,educ_uoe_perd01,educ_uoe_perp03,educ_uoe_perp01
66,qoe_ewcs_7b2,lfso_05regce,tesem240,lfso_05regch,lfso_05regcp,lfso_05change,lfso_05changp,tesem050,enps_lfsa_ergan,tipslm60
67,tespm020,tessi014,ilc_li06h,ilc_li03,ilc_li01,ilc_li06$dv_2666,ilc_li06,tessi126,ilc_li05,tespn120
68,road_go_na_tgtt,road_go_na_dctt,road_go_ta_dctg,med_rd6,enps_road_go,enpe_road_go,road_go_na_ru3g$dv_1582,road_go_na_ru3g,avia_gor_lt,road_go_na_dctg
