question_id,table_id_rank_1,table_id_rank_2,table_id_rank_3,table_id_rank_4,table_id_rank_5,table_id_rank_6,table_id_rank_7,table_id_rank_8,table_id_rank_9,table_id_rank_10
0,enps_env_wat_cov,enps_bop_iip6,med_ps22,med_en63,isoc_bde15ag,tin00074,enps_nama_10_gdp,sdg_12_61,med_ec5,med_ps32
1,educ_uoe_fini05,enps_educ_figdp,enpe_educ_figdp,med_ps26,educ_uoe_fina01,educ_uoe_fini06,educ_fiexpc,lfsa_ergaed$dv_319,,
2,ert_bil_conv_a,icw_sr_05,ilc_di12,tessi190,tessi191,ilc_di12c,ilc_di12b,lfsi_jhh_a,,
3,sbs_pen_7c,sbs_pen_enteea,sbs_pen_7e,sbs_pen_7b1,sbs_pen_7b2,dsb_sprpb01,tps00103,gov_eu_fa,,
4,tag00116,avia_eq_arc_age,enps_avia_typ,avia_eq_arc_agereg,tran_im_urail,tag00083,med_air3,mar_qg_qm_ewhk,,
5,teina400_r2,teina408_r2,teina428_r2,teina444_r2,teina404_r2,teina432_r2,teina420_r2,teina424_r2,teina412_r2,
6,bs_bs2_00,trng_cvt_34s,lfst_dpw_05,tipsex13,irt_h_cgby_m,trng_any4,avia_eq_arc_agereg,earn_ses10_rann,sbs_cre_gbneea,tipsna70
7,rail_go_total,tag00039,met_ipr_dr,tag00037,tag00041,tag00040,med_ag32,road_eqs_semitn,,
8,enps_avia_if,med_rd7,med_ra1,med_rd2,enps_tour_border,med_ra3,enps_avia_typ,med_air4,med_en24,enps_env_wastrt
9,gbv_npv_frq,gbv_npv_rp,gbv_npv_ed,gbv_npv_type,gbv_npv_age,gbv_npv_du,gbv_npv_cob,gbv_npv_cnq,gbv_npv_lim,gbv_npv_perp
10,road_eqr_bum,road_eqs_busmot_h,road_eqr_carbua,road_eqs_busveh,road_eqr_bussea,road_pa_mov,road_eqr_busveh,road_eqs_bussea,enpe_road_pa,road_go_ca_d_ha
11,ilc_odbt01,ilc_odbt07,ilc_odbt12,ilc_odbt09,ilc_odbt03,ilc_odbt08,ilc_odbt05,ilc_li22$dv_2664,ilc_mdes03$dv_2702,tessi121
12,migr_asyapp1pc,migr_asyapp1mp,sdg_10_60,migr_asyapp1up,tps00191,tps00189,migr_asyappctza$dv_618,tps00193,tps00194,tps00190
13,tipslc10,sdg_01_10,tgs00107,ilc_peps11n,tepsr_lm411,tespm040,ilc_pecs01,ilc_peps01n$dv_1161,ilc_peps13n,sdg_01_10a
14,sdg_17_20,gov_eu_nfa,gov_eu_fa,tipspd20,tipspc20,tipspc16,tipspc10,tipspd22,,
15,road_eqr_motors,road_eqr_bum,rail_pa_total,hlth_cd_acdr2$dv_1145,med_ra3,sdg_13_31,mar_tp_sss,mar_tp_go,ttr00015,
16,sdg_06_10,tessi293,tessi294,ilc_mdho02c,ilc_mdho03c,edat_lfse_14$dv_356,ilc_mdsd03$dv_1165,isoc_sks_itspt,tipsna50,sdg_06_30
17,icw_car_04,icw_pov_03,tessi294,ilc_lvho05a$dv_2685,ilc_peps07,ilc_pns5,tessi166,isoc_ci_cm_h$dv_507,icw_sr_09,
18,edat_lfse_03$dv_598,lfsa_urgaed$dv_611,lfst_hheredch$dv_2683,trng_lfs_02$dv_2221,tps00197,lfst_r_lmdgeg,educ_uoe_grad06,educ_uoe_enra28,tesem030,tesem240
19,tessi293,ilc_mdho02c,sdg_06_10,tessi294,ilc_mdho03c,tessi177,tessi176,hlth_co_dischnr,isoc_sks_itsps,tipslm90
20,tag00064,tag00103,tag00063,tag00062,tag00067,tag00060,tec00001,tag00061,tag00054,tag00066
21,tipspc10,trng_aes_187,sdg_12_61,trng_nfe16,road_ec_empl,tipsna62,iss_18bfbck,earn_ses_pub2s$dv_1879,,
22,med_en46,sdg_06_20,ten00030,med_en47,enps_env_ww_con,med_ps32,,,,
23,rail_tf_ns15_sk,rail_tf_ns10_sk,rail_tf_ns20_sk,rail_tf_ns_sk,rail_tf_ns15_cz,rail_tf_ns15_si,rail_tf_ns15_hr,rail_tf_ns15_hu,rail_tf_ns15_mk,rail_tf_ns15_lv
24,tin00196,tin00195,tps00099,med_to13,tps00100,,,,,
25,tepsr_lm411,ilc_peps01n$dv_1161,tespm040,tepsr_lm412,tps00151,tepsr_spi110,ilc_pecs01,sdg_01_20,tipslc10,sdg_01_10
26,ilc_igtp04,ilc_igtp03,tessi121,tespn100,tespn120,tessi022,med_ps312,ilc_li02$dv_548,,
27,educ_iste,earn_ses_pub1i$dv_353,ilc_hch16$dv_2262,ilc_pw15$dv_2750,educ_uoe_enrt08,ilc_mdsd03$dv_1165,ilc_scp15$dv_433,tps00066,ilc_scp07$dv_1064,ilc_pw03$dv_2762
28,ilc_pns5,tipslc20,sdg_01_20,tps00184,sdg_01_20a,tessi121,tesov250,enpe_ilc_li09,,
29,tet00065,teiet210,teina010,teiet010,tet00066,teiet030,teiet040,ert_h_eur_a,,
30,tessi177,tessi178,tessi176,tps00019,ilc_li02$dv_548,irt_h_mr3_a,yth_demo_030,demo_r_gind3$dv_1542,tessi175,mar_tp_pa
31,mar_sg_am_cwd,mar_qg_qm_cwh,mar_mg_am_cwt,mar_qg_qm_ewhd,mar_qg_qm_ewhk,mar_qg_qm_ewht,mar_qg_qm_ewhg,mar_sg_am_ewx,mar_mg_aa_cwh,enps_mar_frdir
32,tet00002,tipsna30,tipspd15,tipslm16,sdg_17_10,rail_tf_ns_lu,ten00135,sdg_11_60,tipslm13,apri_lprc_h
33,tet00028,sdg_13_50,tespn260,ert_bil_conv_a,teiet300,tec00110,tipsex13,egi_tr3,,
34,tessi082,isoc_sks_itsps,educ_uoe_enra29,ilc_pecs01,educ_uoe_enra28,tepsr_lm411,lfsi_jhh_a,tps00203,sdg_08_20,
35,tespn060,tespn020,ilc_pnp2$dv_1988,ilc_pnp2,ilc_pns2,tespn090,ilc_pns5,tespm020,tessi030,
36,rail_tf_ns10_lu,rail_tf_ns_lu,rail_tf_ns15_lu,rail_tf_ns20_lu,road_if_barea,rail_tf_ns10_ee,rail_tf_ns10_be,rail_tf_ns10_li,rail_tf_ns10_ro,rail_tf_ns10_at
37,tps00046,ilc_hch15,tespm120,tespm130,hlth_co_dischnr,hlth_cd_acdr2$dv_1145,sdg_03_42,tepsr_sp320,,
38,egi_so1,enpe_tour_dem_tttot,enps_tour_dem_tttot,iss_18bfmmag,iss_18bfbck,iss_18bfmove,rail_tf_ns20_fi,cei_cie011,prc_rem_gdp,rail_tf_ns15_fi
39,egr_mne,egr_mne_n2sc,enpe_ext_intro,egr_conc,sdg_13_70,demo_popep,tet00038,tet00013,,
40,avia_eq_arc_agereg,avia_eq_arc_age,enps_avia_typ,med_air3,lfst_r_lmdgeg,med_air4,iww_eq_power_lo,road_eqr_motors,road_ec_empl,
41,irt_h_ddmr_q,hsw_aw_inasz,teimf040,tessi082,irt_h_mr3_a,irt_h_mr3_q,,,,
42,teicp120,tec00027,teicp290,prc_hicp_cow,teicp280,teicp000,tec00118,teicp060,teicp050,
43,demo_popmdctb,tps00005,tps00194,tqoe4a3,migr_asyaccm$dv_961,tps00190,prc_rem_gdp,,,
44,earn_gr_gpgr2ag,earn_gr_gpgr2wt,earn_gr_gpgr2ct,earn_gr_hgpg,sdg_05_20,tesem180,ilc_pnp13,earn_gr_goeg,tesem060,tespn250
45,enps_ilc_secure,tgs00047,enpe_isoc_ci_in_h,irt_lt_gby10_m,tessi125,sdg_11_20,tespn110,ilc_lvho50c,ilc_mdsd06,tessi302
46,tps00100,tps00098,tps00099,tps00101,tps00102,tps00105,enpe_spr_exp,demo_mlexpec$dv_292,,
47,road_eqs_roaene_h,road_eqr_tracm,med_rd3,med_rd2,med_rd6,road_ec_entveh,road_ec_invest,road_eqs_spurp,med_rd4,road_eqr_spurp
48,mar_qg_qm_ewhd,mar_qg_qm_ewhk,mar_qg_qm_ewht,mar_qg_qm_cwh,mar_qg_qm_ewhg,mar_mg_am_cwt,mar_sg_am_ewx,mar_sg_am_cwd,mar_mg_aa_pwhd,mar_pa_qm_mt
49,ilc_mdho02c,tessi293,sdg_06_10,ilc_chmd04,tepsr_spi130,ilc_chmd01,ilc_chmd02,tepsr_spi120,tepsr_sp210,tipslm90
50,med_en46,med_rd6,sdg_06_20,ten00030,med_ag42,enps_env_wastrt,med_en25,enps_nrg_bal_c,,
51,tipsii50,tipsii40,tipsii20,tipsii30,tipsii10,tipspd30,tipspc10,tipspc20,tipspd20,tipspd15
52,rail_tf_ns10_dk,rail_tf_ns20_dk,rail_tf_ns15_dk,rail_tf_ns_dk,rail_tf_ns10_no,rail_tf_ns10_ee,rail_tf_ns10_lu,rail_tf_ns10_lv,rail_tf_ns10_fi,rail_tf_ns10_bg
53,mar_mg_am_pvh,mar_mg_am_cvh,mar_sg_am_cv,mar_mg_aa_pwhd,mar_qg_qm_pvh,mar_qg_qm_ewhk,mar_qg_qm_pwhc,mar_qg_qm_cwh,mar_qg_qm_ewhd,mar_mg_aa_cwh
54,enps_lfsa_ergan,tipslm15,tipslm60,enps_lfsa_argaed,enps_educ_enrate,enpe_lfsa_ergan,tepsr_wc130,teilm021,tps00066,tesem050
55,enpe_sts_trtu1,teiis240,teiis270,teiis250,teiis260,teiis200,teiis230,tet00001,,
56,iww_ec_ent_n,iww_ec_employ,iww_ec_ent_c,iww_ec_invest,ttr00007,iww_ac_nbac,sdg_09_60,iww_if_hordim,iww_ec_empsex,iww_if_infrastr
57,ilc_mdho03c,sdg_01_50,sdg_11_20,tepsr_spi110,sdg_10_30,,,,,
58,tps00205,tps00204,enps_demo_gind,med_ps12,tps00019,tps00206,hlth_rs_grd2$dv_2825,hlth_rs_prs2$dv_2824,,
59,cei_wm010,ten00138,cei_pc032,cei_wm011,sdg_11_60,cei_pc034,ten00063,cei_wm020,cei_wm060,
60,iss_21covt,earn_ses_pub1a,tipsbd30,sdg_03_70,trng_cvt_34s,hlth_rs_bdltc,earn_ses_pub1i$dv_353,tin00111,tipsun20,tipsbd20
61,ten00135,tipslm16,tai07,prc_colc_pppnat,tai08,tipspd15,tesem170,apri_lprc_h,sdg_17_10,tipspc16
62,irt_lt_mcby_q,med_ps22,tipslm80,tipslm100,teiis210,tps00194,teiet040,teiet150,sdg_08_20,
63,tipspc10,tipspc15,tipspc13,tipspc20,tipspc25,tipspc23,tipspc16,tipspc14,tipspd15,
64,sdg_12_31,cei_pc040,avia_if_arp,med_eg_all,cei_pc034,med_en24,med_en23,,,
65,educ_uoe_perp05,educ_iste,educ_uoe_perp03,educ_uoe_perd05,educ_uoe_fini06,egr_conc,tps00157,ilc_lvho05a$dv_2685,tepsr_lm420,
66,qoe_ewcs_7b2,tepsr_wc130,tqoe4a3,tesem240,tps00073,eq_pop03,tps00065,tps00203,sdg_08_20,
67,tespm020,ilc_mdho06a$dv_2701,ilc_hch19$dv_2264,tessi014,sdg_11_20,tessi126,ilc_li02$dv_548,tespn120,,
68,iww_eq_age_loa,road_go_na_ru3g$dv_1582,road_go_na_rl3g$dv_1581,med_rd6,enpe_road_go,enps_road_go,road_tert_go,tran_im_uroad,tran_hv_frtra,tran_im_uiww
69,edat_lfse_14$dv_1864,gbv_dv_age,gbv_dv_ed,gbv_any_age,gbv_any_frq,gbv_dv_cob,migr_eilpop,gbv_any_ed,gbv_npv_age,sdg_05_10
70,rail_go_quartal,rail_tf_ns20_cz,enpe_mar_go,mar_mg_am_cwt,mar_mg_aa_pwhd,mar_qg_qm_ewht,mar_qg_qm_ewhd,mar_mg_aa_cwh,mar_qg_qm_cwh,mar_qg_qm_ewhk
71,egi_va2,tessi121,tespn110,tespn010,tessi014,ilc_li02$dv_548,ilc_li22$dv_2664,ilc_odbt01,ilc_odbt07,tessi172
72,tag00094,tag00102,tag00054,tag00056,tag00055,nama_10r_3gva$dv_1563,med_ag51,tag00046,tag00048,apri_pi95_vwpa
73,enps_rail_eq,med_rd3,med_rd2,road_ec_entveh,med_ra3,med_ra2,iww_ec_ent_n,enps_avia_if,med_air4,med_air3
74,tesem240,tps00065,tps00066,enps_edat_lfse4,ilc_igtp03,tesem050,tesem090,tipslm60,educ_uoe_grad06,tesem030
75,road_go_ca_d_ha,med_rd6,road_go_ca_d_c,road_go_ca_c,road_tert_go,ttr00005,enpe_road_go,enps_road_go,road_ec_entveh,
76,rail_tf_ns10_hu,rail_tf_ns10_sk,rail_tf_ns10_ro,rail_tf_ns10_si,rail_tf_ns10_lt,rail_tf_ns10_hr,rail_tf_ns10_ie,rail_tf_ns10_lv,tipsii12,rail_tf_ns10_fi
77,enpe_irt_lt_gby10,enpe_bop_iip6_serv,enpe_irt_st,tps00028,enpe_nama_10_pe,enpe_isoc_ci_ifp_fu,enpe_educ_uoe_enra02,enpe_spr_exp,enpe_nama_10_lp,enpe_road_eqs_car
78,rail_tf_ns20_tr,enps_rail_pa,rail_tf_ns20_bg,rail_tf_ns20_pt,rail_tf_ns20_ro,rail_tf_ns15_tr,rail_tf_ns20_ee,rail_tf_ns20_hu,rail_tf_ns20_lu,rail_tf_ns15_be
79,orch_olives3,orch_olives2,orch_olives1,educ_uoe_enrt08,irt_lt_gby10_m,apri_lprc_h,tai04,tag00001,,
80,gbv_awr_leg,gbv_awr_serv,gbv_any_ed,sdg_05_10,gbv_any_frq,gbv_any_du,gbv_npv_ed,gbv_any_lim,gbv_any_rp,gbv_dv_ed
81,avia_ec_emp_arp,enps_reg_area3,avia_if_arp,enps_ilc_secure,enps_avia_typ,med_ag1,med_rd2,,,
82,rail_tf_ns15_si,rail_tf_ns15_lu,rail_tf_ns15_bg,rail_tf_ns15_be,rail_tf_ns15_ie,rail_tf_ns15_cz,rail_tf_ns15_hu,rail_tf_ns15_ro,rail_tf_ns15_tr,rail_tf_ns15_no
83,ilc_camdothg0,ilc_camnothg0,tespn240,sdg_08_20,avia_tppa,road_tert_go,tepsr_wc130,rail_tf_ns10_be,rail_tf_ns_be,prc_colc_nat
84,sdg_16_20,crim_hom_city,crim_hist,ilc_lvhl23n,tessi165,tessi303,ilc_sbjp05,tag00100,tepsr_lm420,
85,educ_uoe_enra29,educ_uoe_enra28,tespn260,educ_uoe_grad07,sdg_11_60,sdg_16_50,lfsa_ipga$dv_610,tps00199,tps00027,enps_demo_frate1
86,gbv_ipv_ed,gbv_npv_ed,gbv_ipv_lim,gbv_npv_lim,gbv_any_ed,gbv_dv_ed,gbv_ipv_du,educ_uoe_grad09,gbv_ipv_cob,gbv_ipv_frq
87,med_rd2,med_rd5,road_eqr_spurp,road_eqr_tracm,road_ec_entveh,road_go_na_ru3g$dv_1582,road_go_na_rl3g$dv_1581,med_rd3,road_eqr_lsttt,
88,tessi165,enpe_isoc_ci_in_h,isoc_ci_in_h$dv_512,tin00134,tin00092,tin00091,tgs00047,enpe_isoc_ci_ifp_fu,,
89,bs_bs4_06,egi_em3,sdg_16_60,bs_bs13_04,tesem090,edat_lfse_14$dv_1864,tesem180,tec00112,sbs_cre_gbneea,
90,tps00017,enps_demo_nind,tps00014,med_ps12,med_ps112,med_ps115,enps_lfsa_pganws,enps_ilc_natln,,
91,enps_educ_comprate,ilc_pw15$dv_2750,educ_uoe_grad09,trng_lfs_02$dv_2221,ilc_pw03$dv_2762,hlth_ehis_hc2,tesem030,enps_edat_lfse3,ilc_hch16$dv_2262,
92,irt_h_ddmr_q,enps_demo_dens,tag00093,tps00116,tespn110,educ_uoe_perp05,med_rd2,crim_pris_ctz,tipsbd30,ilc_lvps08$dv_1041
93,org_cropar_h2,med_en53,sdg_14_60,sdg_13_31,cei_cie020,sdg_06_20,cei_pc040,,,
94,pipe_ec_employ,rail_pa_nbcar,migr_eilpop,iww_ac_nbac,tran_sf_railac,env_ac_mid,nrg_ind_ep,tran_sf_roadro,sdg_13_40,
95,egi_va2,egi_em3,tet00037,teiis240,teiis210,teiis170,tipsex13,teiis220,teiis160,ilc_pecs01
96,enpe_tour_occ_arnat,tin00174,tin00175,tin00171,tin00172,tesem090,hlth_co_dischnr,sbs_cre_gneea,trng_nfe2,enps_tour_occ_arnat
97,rail_tf_ns20_bg,rail_tf_ns15_bg,rail_tf_ns10_bg,ilc_sbjp05,pipe_if_capac,ttr00015,avia_eq_arc_agereg,prc_hpi_hsna,sdg_13_31,sdg_07_11
98,ttr00016,ttr00012,enps_avia_pa,avia_tppa,med_air4,ttr00011,med_air3,med_air5,enps_avia_fr,tgs00077
99,tipslm80,teilm021,tespm080,teilm011,eq_pop03,tipslm16,tps00203,sdg_08_20,,
