question_id,table_id_rank_1,table_id_rank_2,table_id_rank_3,table_id_rank_4,table_id_rank_5,table_id_rank_6,table_id_rank_7,table_id_rank_8,table_id_rank_9,table_id_rank_10
0,med_ec5,sdg_12_61,isoc_bde15ag,tin00074,enpe_nama_10_a10,enps_nama_10_a10,tec00023,tps00102,egi_va1,tps00098
1,tipslm100,tec00132,tesem010,sdg_08_30,enps_educ_figdp,educ_uoe_fini05,enps_educ_enrate,tipspc26,lfsa_ergaed$dv_319,tipsii15
2,icw_sr_05,tespm151,tessi190,ilc_di12,ilc_lvph01,tipsho10,tipsho20,teicp270,prc_hpi_hsva,prc_hpi_hsna
3,enpe_bop_c6_a,sbs_pen_7c,tipser12,tipsii21,tipsbp22,enpe_mon_res,sbs_pen_7b1,tipser20,env_ac_epite,tipsii12
4,med_air5,med_air1,med_air4,enps_avia_pa,avia_if_arp,med_air3,enps_avia_fr,enps_rail_fr,enps_avia_typ,iww_ec_invest
5,enpe_nama_10_a10,enps_nama_10_a10,teina404_r2,teina424_r2,teina400_r2,teina428_r2,teina412_r2,teina420_r2,teina440_r2,teina416_r2
6,crim_plce,gov_10a_emp,med_en51,med_en3,sdg_16_30,hsw_ind,crim_pris_pop,tipslm50,sdg_08_30a,cens_01ndquart_hd
7,tag00039,tag00037,tag00040,tag00041,tag00038,tag00014,med_ag32,rail_tf_ns15_hr,tag00044,tag00070
8,med_en3,hlth_cd_iap,road_eqs_carage,med_rd7,enps_env_air_emis,enps_avia_pa,enpe_road_eqs_car,road_eqs_carhab,enps_road_eqs_car,iww_ac_nbac
9,tsc00006,tsc00005,tps00048,tesem060,sdg_05_50,tepsr_lm410,ilc_pnp13,sdg_16_70,isoc_ski_itsex,crim_thb_sex$dv_1641
10,rail_eq_vans,enps_avia_pa,rail_pa_total,rail_tf_ns_sk,rail_eq_pa_nty,sdg_09_50,rail_tf_passmov,road_pa_mov,rail_pa_nbcar,rail_pa_nbpass
11,tin00196,tin00195,tps00103,tps00104,tipslc20,tesem140,tesem210,tps00102,tesem120,sdg_07_20
12,crim_pris_ctz,migr_asywitha$dv_1021,crim_pris_tri,tps00191,tps00194,crim_thb_vctz,tgs00027,migr_asyappctza$dv_618,migr_asyapp1up,migr_asyaccm$dv_961
13,tipslc10,tepsr_lm410,ilc_peps13n,tepsr_lm411,sdg_01_10a,tesem120,ilc_peps01n$dv_1161,enps_lfsa_urgan,lfsi_jhh_a,enpe_lfsa_urgan
14,ten00141,gov_eu_fa,ten00139,enps_nama_10_gdp_ea,gov_eu_nfa,sdg_17_50,tps00104,enpe_nama_10_gdp_ea,tps00102,tec00039
15,road_eqs_carage,enpe_road_eqs_car,ttr00002,road_eqs_unlweig,enps_road_eqs_car,road_eqs_carhab,med_rd2,rail_eq_pa_nty,tipslm16,med_rd3
16,med_en21,enps_env_wastrt,tps00199,tesem120,med_ps421,enps_demo_frate1,tessi293,enps_env_wasgenp,sdg_06_10,enps_env_wasacc
17,tps00102,sdg_10_41,tps00103,tps00104,sdg_10_50,tin00196,tps00098,enpe_ext_intro,tec00104,sdg_07_20
18,tesem030,sdg_04_20,tesem140,tps00197,yth_educ_020,edat_lfse_03$dv_598,tipslm16,educ_uoe_grad09,yth_educ_030,tipslm90
19,tps00199,tessi293,enps_demo_frate1,eq_pop02,lfsi_jhh_a,env_wat_pop,med_en47,tps00028,tipslm16,lfsa_ipga$dv_610
20,tag00064,enps_cpi,tag00069,tag00067,enpe_cpi,tag00063,tag00066,tag00065,tec00001,ten00120
21,tipslm100,tipsna62,trng_nfe7,tipsna70,trng_nfe16,trng_nfe15,edat_lfse_14$dv_1864,for_awu,trng_nfe14,trng_nfe13
22,enps_env_ww_con,enps_env_wasacc,med_en47,enps_env_wastrt,ten00030,enps_env_wasgenp,sdg_06_20,env_wat_pop,tepsr_lm230,ilc_lvho50d
23,rail_tf_ns15_sk,rail_tf_ns15_lt,rail_tf_ns15_si,rail_tf_ns15_hu,rail_tf_ns15_cz,rail_tf_ns15_ro,rail_tf_ns15_lv,rail_pa_speed,rail_tf_ns15_hr,rail_tf_ns15_bg
24,tin00196,tin00195,tps00103,tps00102,tepsr_wc130,nama_10_fte,tipslm50,rail_ec_expend,enpe_tour_dem_tttot,tipslm10
25,tipslc10,tespm040,tepsr_lm410,tepsr_lm411,sdg_01_10,ilc_peps01n$dv_1161,tipslc20,tepsr_lm412,enpe_ilc_li09,tespn010
26,med_ps421,tesem140,sdg_11_11,tesem120,tesem210,med_ps422,tipsun20,enps_lfsa_urgan,enpe_lfsa_urgan,ilc_mdho06a$dv_1184
27,med_ps23,enps_educ_compyr,educ_iste,med_ps421,med_ps422,enpe_educ_uoe_enra02,tipsun10,educ_fiexpc,isoc_ski_itsex,educ_uoe_enra10
28,tipslc20,med_ps421,tesem210,enps_lfsa_urgan,sdg_11_11,enpe_lfsa_urgan,earn_nt_unemtrp,tesem120,tesem140,ilc_peps07
29,tipser20,tag00067,tag00066,tag00070,tipsex20,tet00071,tipsex11,enps_nama_10_gdp,tipsex10,tag00069
30,tps00003,enps_demo_dens,tps00028,lfsi_jhh_a,met_d3dens,eq_pop03,eq_pop02,crim_pris_cap,tipslm16,ilc_lvho05a$dv_1185
31,ttr00009,ttr00007,tran_im_umar,tgs00076,sdg_09_60,mar_sg_am_cwd,mar_mg_aa_pwhd,mar_sg_am_pwl,mar_sg_am_pwc,mar_sg_am_cv
32,tipsex10,tipsex13,tran_hv_pstra,irt_h_euryld_a,tipsex11,tag00046,tipser12,tag00052,tipsex20,ipr_ta_gdp
33,tet00028,enps_cpi,enpe_cpi,tet00001,enpe_sts_inppd,tipsho10,tran_hv_pstra,prc_hpi_hsva,tec00001,tec00120
34,tps00203,tesem120,med_ps421,lfsi_jhh_a,tesem140,tps00182,enpe_lfsa_urgan,enps_lfsa_urgan,teilm021,tespn080
35,tespn060,tec00105,tesem170,prc_colc_pppnat,tec00132,tec00106,tipsna40,ilc_pns2,tessi190,ilc_di12
36,rail_tf_ns10_lu,rail_pa_total,rail_eq_vans,med_ra5,enps_rail_fr,med_air5,sdg_09_60,avia_tpgo,tran_im_umar,road_eqr_lsttt
37,hlth_rs_grd2$dv_2825,hlth_rs_prs2$dv_2824,tesem010,sdg_08_30,tps00053,med_en24,isoc_sks_itsps,isoc_ski_itsex,hlth_ps_scre,hlth_hc_phys
38,egi_so1,egi_em1,sbs_cre_gneea,sbs_pen_enteea,egi_em2,tin00111,tsc00031,tipspc16,tipspd26,tipspc26
39,tet00037,tet00071,egr_mne,teiis521,ten00139,tet00011,egi_em1,ttr00007,tec00001,tec00132
40,enps_avia_typ,avia_eq_arc_agereg,avia_if_arp,avia_ec_enterp,med_air3,enps_avia_pa,avia_eq_arc_age,med_air4,avia_ec_emp_ent,mar_tp_pa
41,tipser12,tipser20,irt_st_a,tipser11,tipsfs30,tipspd10,tipsii21,tipser10,tipsii12,tipsii15
42,teicp120,teicp250,teicp280,teicp240,teicp010,tec00118,teicp050,teicp020,teicp030,teicp260
43,tps00178,eq_pop04,tipslm16,tespn060,demo_popmdctb,ilc_lvps08$dv_1041,educ_uoe_grad06,ilc_li34$dv_1982,ilc_li34,ilc_li70
44,tespn080,tespm151,tesem120,tespn020,enpe_lfsa_urgan,enps_lfsa_urgan,teilm012,ilc_pns2,tespn060,tespn090
45,enps_ef_lus_main,med_en62,enpe_ef_lus_main,tps00181,tps00182,lfsi_jhh_a,enps_apro_mt_ls,enpe_isoc_ci_in_h,med_to21,med_ps32
46,tps00102,tps00103,ten00137,tps00199,tps00203,tps00104,med_ps421,tps00098,tesem140,cei_pc034
47,road_eqs_roaene_h,rail_eq_vans,enps_rail_eq,med_en3,road_eqs_carhab,enpe_road_pa,rail_eq_pa_nty,road_eqr_motors,med_rd7,road_eqr_tracm
48,ttr00009,mar_mg_aa_pwhd,mar_mg_am_pvh,ttr00007,mar_tp_go,mar_sg_am_pwc,mar_tp_sss,mar_sg_am_pwl,enps_mar_frdir,tran_im_umar
49,ilc_mdho02c,sdg_06_10,tessi293,tepsr_sp210,tesem120,tepsr_spi130,tepsr_spi110,ilc_mdho03c,tepsr_spi120,lfst_hhwahchi$dv_1872
50,med_en46,enps_env_ww_con,med_en47,enps_env_wasacc,sdg_06_20,med_en21,env_wat_pop,cei_pc031,enps_env_wat_cov,lfsi_jhh_a
51,tipsii50,sdg_08_11,tipspd20,tipsen10,teina110,tipspd23,tipsii40,tipspd25,tipspd13,tipspc23
52,rail_tf_ns10_dk,rail_eq_vans,rail_tf_ns20_dk,enps_rail_pa,enpe_road_pa,rail_pa_speed,rail_eq_pa_nty,iww_tf_vetf,rail_eq_pa_nca,rail_tf_hauseat
53,mar_mg_am_pvh,mar_sg_am_pwc,mar_tp_go,mar_mg_am_cvh,mar_tp_sss,mar_mp_aa_pphd,mar_qg_qm_pvh,mar_qg_qm_pwhc,mar_sg_am_pwl,mar_sg_am_cv
54,enps_lfsa_ergan,med_ps412,med_ps413,tipslm60,enps_lfsa_pganws,tipslm15,tipslm16,tesem010,enpe_lfsa_ergan,tesem080
55,tet00001,enps_cpi,tet00028,tipser20,tec00039,enpe_apro_mt_ls,tec00040,tipsex20,tec00120,tipsex11
56,med_ma6,iww_ec_invest,iww_ec_ent_n,tag00116,iww_if_infrastr,iww_ac_nbac,iww_ec_ent_c,iww_if_hordim,mar_mp_aa_cph,mar_sg_am_pwl
57,med_ps421,tipslc20,med_ps422,sdg_11_11,ilc_sbjp05,tesem120,tesem210,tipsun10,earn_gr_goeg,tepsr_lm230
58,enps_demo_frate1,tps00216,tps00199,tps00206,tec00001,tag00069,tesem120,tag00062,tag00063,tag00070
59,cei_wm010,sdg_11_60,ten00138,ten00063,cei_cie020,cei_wm011,cei_gsr020,ten00110,cei_pc040,ten00030
60,sdg_08_11,enps_nama_10_gdp_ea,iss_21covt,tin00111,urt_10r_3gdp$dv_1584,tec00106,tin00110,enpe_nama_10_gdp_ea,tet00003,tet00004
61,tai08,,,,,,,,,
62,tipser20,tipser12,teimf200,tipser13,tipser10,teimf250,tipser11,tipsii12,tipsbp22,tipsii21
63,tipspc20,tipspc23,sdg_08_11,tipspd20,tipspc13,tipspc25,tec00039,tec00041,tec00042,tipspd23
64,ten00110,enps_env_wasgenh,cei_pc040,cei_pc034,ilc_lvph01,env_chmhaz,med_en23,tag00046,ilc_lvph03,ten00030
65,educ_uoe_perp05,isoc_ski_itsex,enpe_educ_uoe_enra02,educ_uoe_perd05,educ_uoe_enra05$dv_441,educ_uoe_enra06,educ_uoe_enra21,educ_uoe_enra10,educ_uoe_enra18,educ_uoe_enra23
