question_id,table_id_rank_1,table_id_rank_2,table_id_rank_3,table_id_rank_4,table_id_rank_5,table_id_rank_6,table_id_rank_7,table_id_rank_8,table_id_rank_9,table_id_rank_10
0,med_ec5,naida_10_a10,enps_nama_10_a10,naida_10_gdp,naidq_10_gdp,enps_nama_10_gdp_ea,mar_go_am_ee,mar_go_am_se,mar_go_am_ie,mar_go_am_tr
1,educ_uoe_fine02,educ_uoe_fine08,educ_uoe_fine07,educ_uoe_fini01,educ_uoe_fine03,educ_uoe_enrp04,educ_uoe_fina01,educ_uoe_fine10,educ_uoe_enra01,educ_uoe_fine06
2,hbs_exp_t134,hbs_exp_t111,hbs_exp_t121,tec00009,hbs_exp_t123a,hbs_exp_t137,teina021,tipsna51,tipsho41,hbs_exp_t133
3,sbs_pen_7e,sbs_pen_7a,sbs_pen_7c,sbs_pen_7b1,sbs_pen_7d,sbs_pen_7b2,spr_exp_pens,dsb_sprex03,env_ac_exp1r2,sdg_08_11
4,med_air3,med_air4,enps_avia_typ,avia_goocc,avia_gooac,avia_gooc,avia_gona,avia_tf_acc,avia_gor_uk,avia_gor_lt
5,teina416_r2,teina424_r2,teina412_r2,teina432_r2,teina400_r2,teina404_r2,teina428_r2,teina436_r2,teina408_r2,teina420_r2
6,crim_plce,cens_01nadisco,earn_ses_agt03,lfsq_eegaed,lfsa_eegaed,isoc_cisce_icn2,lfsa_eegais,lfsq_eegais,org_coptyp_h,lfsq_pgaied
7,tag00039,apro_mk_colm,apro_mk_cola,apro_mk_pobta,tag00041,apro_mk_farm,apro_mk_strpd,tag00037,agr_r_milkpr,sts_inpr_q
8,med_en3,med_rd2,med_rd3,enps_road_eqs_car,med_rd5,enps_rail_eq,enps_env_air_emis,enps_env_wasgenm,med_rd7,mar_go_qm_dk
9,gbv_npv_perp,gbv_npv_rp,gbv_npv_type,gbv_npv_frq,gbv_npv_cnq,gbv_npv_cob,gbv_npv_lim,gbv_st_perp,sdg_05_50,gbv_npv_age
