question_id,table_id_rank_1,table_id_rank_2,table_id_rank_3,table_id_rank_4,table_id_rank_5,table_id_rank_6,table_id_rank_7,table_id_rank_8,table_id_rank_9,table_id_rank_10
0,med_ec5,enps_nama_10_a10,enps_nama_10_gdp_ea,med_ec3,enps_gov_10dde,enps_bop_iip6,med_ec4,enps_gov_10dd,med_ec2,med_ec1
1,educ_uoe_fini05,educ_uoe_fina01,educ_uoe_fini06,gba_nabste,tps00104,tsc00007,tec00023,tepsr_sp110,tps00102,tps00101
2,hbs_exp_t111,teina021,tec00009,teina020,icw_sr_05,tipsna51,tepsr_wc310,tessi190,tec00131,ilc_di12
3,sbs_pen_7c,sbs_pen_7e,sbs_pen_7b1,sbs_pen_7b2,sdg_08_11,env_ac_epite1,env_ac_epite,sdg_16_30,tepsr_sp110,ilc_pnp14
4,med_air3,enps_avia_typ,med_air4,med_air5,avia_if_arp,med_ma5,enps_avia_fr,avia_eq_arc_age,enps_avia_pa,avia_eq_arc_agereg
5,teina442_r2,teina426_r2,teina406_r2,teina434_r2,teina418_r2,teina422_r2,teina430_r2,teina438_r2,teina414_r2,teina440_r2
6,crim_plce,hlth_hc_phys2,crim_pris_pop,sbs_pen_7b2,hlth_hc_phys,educ_iste,hlth_hc_dent,tipslm16,road_ec_empl,road_eqs_carhab
7,tag00039,tag00041,tag00037,tag00040,apro_mk_fatprot,tag00038,tag00014,teiis090,teiis120,tag00049
8,med_en3,enps_env_air_emis,med_rd2,med_rd3,enps_env_wasgenm,enps_road_eqs_car,enps_rail_eq,med_en21,enps_env_wasgenp,enps_nrg_bal_c1
9,gbv_npv_rp,gbv_npv_perp,gbv_npv_type,gbv_ipv_rp,gbv_any_rp,gbv_npv_frq,gbv_npv_cnq,gbv_ipv_type,gbv_npv_cob,gbv_dv_type
10,road_pa_mov,road_eqr_busveh,road_eqs_busveh,sdg_09_50,rail_pa_nbcar,rail_pa_nbpass,rail_tf_trainmv,rail_eq_pa_nty,rail_eq_pa_cty,road_eqr_bussea
