question_id,table_id_rank_1,table_id_rank_2,table_id_rank_3,table_id_rank_4,table_id_rank_5,table_id_rank_6,table_id_rank_7,table_id_rank_8,table_id_rank_9,table_id_rank_10
0,med_ec5,enps_nama_10_a10,naida_10_a10,enps_nama_10_gdp_ea,enps_bop_iip6,enps_gov_10dd,enps_gov_10dde,med_ec1,naida_10_gdp,naidsa_10_nf_tr
1,educ_uoe_fine08,educ_uoe_fini05,educ_uoe_fini03,educ_uoe_fine06,educ_uoe_fine07,educ_uoe_fina01,educ_uoe_fine02,educ_uoe_fini01,educ_uoe_fini02,gba_nabste
2,icw_sr_05,hbs_exp_t134,tepsr_wc310,hbs_exp_t111,icw_pov_05,sdg_10_10,icw_pov_06,ilc_lvho30,hbs_exp_t133,tour_dem_exinc
3,sbs_pen_7a,sbs_pen_7c,sbs_pen_7b1,sbs_pen_7e,sbs_pen_7b2,sbs_pen_7d,env_ac_epite,sbs_cre_tent,ei_mfrt_m,sbs_ins_5a
4,enps_avia_typ,med_air3,avia_eq_arc_typ,avia_eq_arc_typreg,avia_paoa,avia_paoc,avia_eq_arc_agereg,avia_gooc,enps_avia_if,avia_pana
5,teina442_r2,teina440_r2,teina404_r2,teina422_r2,teina434_r2,teina406_r2,teina438_r2,teina436_r2,teina414_r2,teina430_r2
6,crim_plce,earn_gr_empisco,crim_pris_pop,earn_gr_empnace,crim_gen,earn_ses_agt03,tran_sf_roadus,hlth_co_disch1,hsw_aw_fnms,cens_01nelev
7,tag00039,tag00040,teiis090,apro_mk_farm,apro_mk_strpd,apro_mk_colm,sts_inpr_a,agr_r_milkpr,teiis500,org_aprod
8,med_rd2,med_rd3,enps_rail_eq,med_en3,med_air3,enps_road_eqs_car,enps_avia_if,med_ra3,enps_env_air_emis,med_ra2
9,gbv_npv_rp,gbv_npv_perp,gbv_npv_frq,gbv_npv_age,gbv_npv_type,gbv_npv_cnq,gbv_npv_ed,gbv_any_rp,gbv_ipv_comm,gbv_npv_cob
10,road_pa_mov,road_eqs_busveh,road_eqr_busveh,sdg_09_50,tran_sf_roadve,rail_tf_hautype,road_eqr_bum,road_eqs_busmot_h,tran_hv_psmod,rail_tf_passmov
11,tessi022,tespm020,tespn050,ilc_li06,ilc_li03,tessi120,tessi121,tessi012,ilc_li07,ilc_li21
12,migr_asyappctza,migr_asyappctza$dv_618,migr_asyappctzm,migr_asyumacta,migr_asyumactm,tps00191,migr_asyapp1mp,migr_asyapp1pc,tps00194,migr_asyunaa
13,tgs00107,ilc_li10_r,ilc_peps11n,ilc_peps11,tgs00103,lfst_r_lfu2ltu,lfst_r_lfu3rt,ilc_li41,edat_lfse_04,edat_lfs_9918
14,gov_10q_ggnfa,nasq_10_nf_tr,nasa_10_nf_tr,naidsq_10_nf_tr,gov_10a_taxag,naidsa_10_nf_tr,naio_10_pyp1630,naio_10_cp1630,namq_10_exi,nama_10_exi
